WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,StationPressure,AirTemperature,Rainfall24Hr,MinimumTemperature,Rainfall,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.1,08-01-2019,07:00:00,95,973.91,25.0,33.00,22.7,0.00,10.00,1004.86,0.0,30.05,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.5,08-01-2019,07:00:00,96,841.59,18.2,0.00,18.0,0.00,8.00,1002.41,9.3,20.03,250
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.5,08-01-2019,07:00:00,95,960.83,23.4,27.00,22.5,0.30,10.00,1004.66,3.7,27.24,030
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.6,08-01-2019,07:00:00,96,958.70,22.2,49.20,21.8,0.00,12.00,1004.63,0.0,25.77,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,08-01-2019,07:00:00,100,966.67,23.0,58.50,22.2,0.00,10.00,1004.54,0.0,28.07,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,08-01-2019,07:00:00,96,959.62,24.2,36.00,23.0,0.00,10.00,1004.80,0.0,28.88,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.0,08-01-2019,07:00:00,96,977.70,24.7,48.00,24.3,0.00,6.00,1004.48,0.0,29.77,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.3,08-01-2019,07:00:00,88,982.70,25.4,0.01,25.3,0.00,12.00,1004.47,5.6,28.67,070
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.9,08-01-2019,07:00:00,90,981.49,24.7,9.40,22.5,0.40,6.00,1005.68,0.0,27.95,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.3,08-01-2019,07:00:00,93,970.17,24.5,9.60,24.2,8.40,5.00,1004.77,0.0,28.63,000
