WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,82,10-04-2019,22:00:00,26.2,1011.06,1010.29,23.0,28.01,0.00,5.00,0.00,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,85,10-04-2019,22:00:00,27.0,1011.25,1010.54,24.3,30.29,0.10,10.00,0.50,9.3,090
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,82,10-04-2019,22:00:00,27.1,1011.12,1010.41,23.8,29.39,0.00,7.00,0.00,3.7,110
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,77,10-04-2019,22:00:00,26.5,1011.62,990.34,22.0,26.47,0.00,7.00,0.00,0.0,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,87,10-04-2019,22:00:00,26.8,1010.88,994.09,24.5,30.72,0.00,7.00,1.10,0.0,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,92,10-04-2019,22:00:00,26.0,1011.53,994.98,24.6,30.84,0.00,8.00,0.10,0.0,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,85,10-04-2019,22:00:00,26.4,1011.54,989.55,23.6,29.17,0.00,4.00,0.00,0.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,94,10-04-2019,22:00:00,23.7,1012.12,968.20,22.7,27.50,0.00,8.00,0.01,7.4,070
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,90,10-04-2019,22:00:00,26.8,1011.34,990.68,24.9,31.55,0.00,10.00,0.40,3.7,180
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,10-04-2019,22:00:00,25.4,1012.00,990.97,25.4,32.42,0.00,5.00,0.00,0.0,000
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,77,10-04-2019,22:00:00,26.9,1010.95,1010.52,22.6,27.44,0.00,10.00,0.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,10-04-2019,22:00:00,25.2,1011.02,1009.59,24.5,30.69,0.00,6.00,15.40,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,96,10-04-2019,22:00:00,25.1,1011.83,1006.84,24.4,30.50,0.00,7.00,17.90,0.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,86,10-04-2019,22:00:00,25.5,1011.24,1007.92,23.0,28.07,4.30,10.00,7.20,0.0,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,85,10-04-2019,22:00:00,26.3,1011.08,1009.97,23.5,28.98,0.00,10.00,0.00,0.0,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,84,10-04-2019,22:00:00,27.9,1010.75,1010.45,24.9,31.47,0.00,10.00,2.70,0.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,86,10-04-2019,22:00:00,27.5,1010.94,1010.45,24.9,31.52,0.00,10.00,14.00,0.0,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,90,10-04-2019,22:00:00,26.5,1011.24,1009.82,24.8,31.24,0.00,8.00,37.60,3.7,110
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,96,10-04-2019,22:00:00,24.0,1013.08,1004.95,23.3,28.53,0.00,10.00,2.90,0.0,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,96,10-04-2019,22:00:00,26.0,1010.56,1010.27,25.3,32.20,0.00,4.00,15.70,0.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,92,10-04-2019,22:00:00,26.5,1010.49,1007.34,25.1,31.79,0.00,10.00,0.00,5.6,270
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,92,10-04-2019,22:00:00,26.5,1011.04,1004.06,25.1,31.79,0.00,10.00,0.00,0.0,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,10-04-2019,22:00:00,25.8,1011.66,1006.02,24.3,30.46,21.70,8.00,21.70,0.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,86,10-04-2019,22:00:00,25.5,1011.24,1009.97,23.0,28.07,0.00,10.00,0.00,3.7,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,77,10-04-2019,22:00:00,27.5,1010.59,1010.15,23.1,28.26,0.00,11.00,0.00,0.0,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,10-04-2019,22:00:00,23.7,1011.72,999.27,22.3,27.00,0.00,8.00,0.10,0.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,78,10-04-2019,22:00:00,27.1,1010.87,1010.15,22.8,27.80,0.00,8.00,0.00,3.7,300
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,88,10-04-2019,22:00:00,27.5,1010.25,1007.81,25.4,32.36,0.00,8.00,0.00,3.7,350
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,84,10-04-2019,22:00:00,27.0,1011.35,1010.83,24.1,30.02,0.00,7.00,0.00,0.0,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,91,10-04-2019,22:00:00,26.6,1011.02,1005.84,25.0,31.71,0.00,9.00,2.30,3.7,050
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,95,10-04-2019,22:00:00,25.4,1011.35,1010.93,24.5,30.79,0.00,7.00,46.40,0.0,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,10-04-2019,22:00:00,25.5,1011.51,1008.72,24.8,31.25,0.00,8.00,4.40,0.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,85,10-04-2019,22:00:00,28.0,1012.20,1011.42,25.1,31.95,0.00,10.00,0.00,0.0,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,88,10-04-2019,22:00:00,25.0,1011.17,1010.71,22.8,27.70,0.40,6.00,19.90,9.3,080
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,91,10-04-2019,22:00:00,25.3,1011.22,1010.53,23.7,29.28,0.00,7.00,0.00,0.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,93,10-04-2019,22:00:00,24.8,1011.36,1009.81,23.6,29.16,0.00,8.00,0.00,0.0,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,88,10-04-2019,22:00:00,25.8,1011.62,1010.70,23.6,29.13,0.00,10.00,0.00,0.0,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,86,10-04-2019,22:00:00,27.5,1011.04,1010.35,24.9,31.52,0.00,10.00,0.00,0.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,96,10-04-2019,22:00:00,24.2,1012.50,1011.70,23.5,28.88,47.10,6.00,47.10,5.6,250
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,93,10-04-2019,22:00:00,26.0,1010.99,1010.35,24.8,31.38,0.00,10.00,0.00,0.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,92,10-04-2019,22:00:00,25.4,1011.19,1010.79,23.9,29.72,0.00,10.00,0.00,0.0,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,92,10-04-2019,22:00:00,25.5,1013.39,1009.13,24.0,29.91,0.00,5.00,0.20,0.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,10-04-2019,22:00:00,23.6,1011.70,1010.06,23.0,28.09,21.00,7.00,32.80,0.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,10-04-2019,22:00:00,25.0,1011.55,1008.03,23.5,29.00,0.90,10.00,0.90,0.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,86,10-04-2019,22:00:00,26.7,1010.21,1008.85,24.2,30.26,0.00,10.00,0.00,0.0,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,96,10-04-2019,22:00:00,25.5,1011.23,1010.34,24.8,31.25,4.00,10.00,15.80,0.0,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,86,10-04-2019,22:00:00,26.4,1011.64,1008.06,23.9,29.70,0.00,10.00,0.00,0.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,84,10-04-2019,22:00:00,27.0,1011.34,1010.90,24.1,30.02,0.70,8.00,1.00,0.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,81,10-04-2019,22:00:00,28.0,1011.07,1010.08,24.4,30.56,0.00,10.00,1.00,0.0,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,80,10-04-2019,22:00:00,26.8,1011.06,1010.24,23.0,28.04,0.00,10.00,0.80,0.0,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,92,10-04-2019,22:00:00,25.5,1011.31,1009.48,24.0,29.91,0.00,10.00,2.00,0.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,85,10-04-2019,22:00:00,26.2,1011.61,1010.85,23.6,29.07,0.00,10.00,1.10,0.0,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,92,10-04-2019,22:00:00,25.5,1011.79,1007.76,24.0,29.91,0.00,10.00,0.20,7.4,290
48570,SATUN,สตูล,สตูล,6.65000,100.08333,90,10-04-2019,22:00:00,27.0,1011.62,1010.94,25.3,32.21,0.00,10.00,0.00,0.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,10-04-2019,22:00:00,24.8,1011.38,1010.26,24.2,30.22,0.00,10.00,6.80,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,92,10-04-2019,22:00:00,25.7,1011.76,1008.81,24.2,30.28,0.00,10.00,0.00,0.0,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,93,10-04-2019,22:00:00,24.5,1011.92,1011.23,23.3,28.63,0.00,8.00,0.00,0.0,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,97,10-04-2019,22:00:00,23.7,1012.25,1008.06,23.3,28.52,0.00,7.00,1.20,0.0,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,84,10-04-2019,22:00:00,26.0,1011.21,1010.62,23.1,28.18,0.00,9.00,0.00,5.6,170
