WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,VaporPressure
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-19-2019,22:00:00,29.7,1006.90,0.0,70,989.56,000,10.00,23.6,0.00,29.16
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1.50,08-19-2019,22:00:00,26.2,1005.78,0.0,96,989.92,000,9.00,25.5,5.50,32.59
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-19-2019,22:00:00,29.7,1005.12,0.0,71,986.44,000,8.00,23.9,0.00,29.71
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-19-2019,22:00:00,23.9,1008.93,0.0,91,957.31,000,6.00,22.4,2.90,27.08
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,08-19-2019,22:00:00,26.0,1007.86,11.1,93,1003.89,150,5.00,24.7,15.00,31.11
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.40,08-19-2019,22:00:00,21.4,1009.06,25.9,97,913.74,230,.20,20.9,2.10,24.76
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-19-2019,22:00:00,28.8,1006.11,0.0,92,990.23,000,8.00,27.4,0.00,36.52
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.90,08-19-2019,22:00:00,25.5,1008.71,0.0,94,1004.64,000,5.00,24.5,13.00,30.71
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.00,08-19-2019,22:00:00,24.5,1009.75,0.0,93,998.96,000,8.00,23.3,45.40,28.63
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,4.30,08-19-2019,22:00:00,25.4,1009.10,3.7,95,1007.16,150,6.00,24.5,26.70,30.79
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,6.00,08-19-2019,22:00:00,25.1,1008.69,9.3,89,987.66,250,5.00,23.2,6.00,28.40
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-19-2019,22:00:00,29.0,1006.22,0.0,84,988.69,000,10.00,26.0,0.00,33.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-19-2019,22:00:00,30.0,1005.75,0.0,75,989.77,000,10.00,25.0,0.00,31.72
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-19-2019,22:00:00,29.4,1006.61,0.0,82,992.70,000,10.00,26.0,0.00,33.66
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-19-2019,22:00:00,28.5,1007.48,0.0,88,992.72,000,8.00,26.4,0.00,34.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-19-2019,22:00:00,28.5,1007.80,0.0,88,993.19,000,7.00,26.4,0.00,34.40
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.80,08-19-2019,22:00:00,25.8,1007.94,0.0,93,1004.91,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",7.00,24.6,37.90,31.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,4.10,08-19-2019,22:00:00,24.6,1008.85,0.0,95,1000.82,000,7.00,23.7,4.10,29.33
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.01,08-19-2019,22:00:00,26.6,1008.64,5.6,89,1007.53,050,7.00,24.6,0.01,30.89
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-19-2019,22:00:00,29.5,1007.19,0.0,89,992.63,000,8.00,27.4,0.00,36.55
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,12.40,08-19-2019,22:00:00,19.5,1010.30,13.0,99,874.88,260,.10,19.3,12.40,22.42
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,16.00,08-19-2019,22:00:00,24.3,1009.78,3.7,93,1003.83,190,8.00,23.1,16.00,28.28
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.60,08-19-2019,22:00:00,28.5,1009.35,7.4,81,1008.55,310,8.00,24.9,0.60,31.54
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-19-2019,22:00:00,30.1,1007.68,11.1,71,1007.24,230,10.00,24.2,0.00,30.22
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.40,08-19-2019,22:00:00,25.0,1009.65,0.0,96,998.24,000,3.00,24.3,4.00,30.32
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-19-2019,22:00:00,28.8,1009.24,1.9,73,1008.23,270,10.00,23.6,0.00,29.08
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.00,08-19-2019,22:00:00,25.5,1009.07,3.7,94,1007.24,140,7.00,24.5,10.60,30.71
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-19-2019,22:00:00,28.4,1009.01,0.0,73,1008.25,000,6.00,23.0,0.00,28.06
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-19-2019,22:00:00,29.2,1009.03,13.0,79,1008.33,240,10.00,25.1,0.00,31.81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-19-2019,22:00:00,29.2,1008.62,9.3,73,1007.92,310,7.00,23.9,0.00,29.57
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-19-2019,22:00:00,26.6,1008.98,11.1,71,987.76,260,10.00,21.0,0.00,24.87
