WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,RelativeHumidity,WindDirection,DewPoint,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,VaporPressure,StationPressure
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,10-17-2019,10:00:00,1014.28,68,100,23.0,0.00,29.4,7.4,0.01,28.04,998.31
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,10-17-2019,10:00:00,1014.14,60,080,22.8,0.00,31.5,5.6,0.00,27.68,1010.14
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,10-17-2019,10:00:00,1014.59,57,040,21.5,0.00,31.0,7.4,0.00,25.65,1003.98
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,14.00,10-17-2019,10:00:00,1014.37,64,040,22.6,0.00,30.2,7.4,2.10,27.39,1012.44
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,10-17-2019,10:00:00,1014.13,53,090,20.1,0.00,30.8,22.2,0.00,23.46,993.38
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,10-17-2019,10:00:00,1013.14,62,040,21.9,0.00,30.0,11.1,0.00,26.21,995.55
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,10-17-2019,10:00:00,1013.61,60,030,21.8,0.00,30.5,11.1,0.00,26.06,997.53
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,10-17-2019,10:00:00,1013.35,60,040,22.0,0.00,30.7,9.3,0.00,26.44,999.40
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,10-17-2019,10:00:00,1013.40,65,320,22.7,0.00,30.0,5.6,0.00,27.55,998.62
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,12.00,10-17-2019,10:00:00,1014.49,67,060,23.4,0.00,30.2,20.4,0.00,28.75,999.86
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,10-17-2019,10:00:00,1014.14,60,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",22.8,0.00,31.5,0.0,0.00,27.68,1011.15
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,10-17-2019,10:00:00,1013.52,52,040,21.0,0.00,32.0,9.3,0.00,24.83,1005.65
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10.00,10-17-2019,10:00:00,1013.28,64,050,23.5,0.00,31.0,20.4,0.00,28.92,1012.18
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,10-17-2019,10:00:00,1014.15,68,000,22.5,0.00,29.0,0.0,0.20,27.30,999.46
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,10-17-2019,10:00:00,1014.26,94,040,19.3,0.00,20.3,5.6,0.00,22.44,878.64
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,10-17-2019,10:00:00,1014.03,61,040,22.2,0.00,30.4,14.8,0.00,26.68,1008.18
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,12.00,10-17-2019,10:00:00,1012.87,61,000,24.2,0.00,32.8,0.0,0.00,30.28,1012.08
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,10-17-2019,10:00:00,1012.75,60,120,22.8,0.00,31.5,11.1,0.00,27.68,1012.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10.00,10-17-2019,10:00:00,1013.41,73,000,24.9,0.00,30.3,0.0,0.00,31.48,1002.16
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,8.00,10-17-2019,10:00:00,1013.75,62,070,22.4,0.00,30.5,9.3,0.00,27.14,1012.75
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,12.00,10-17-2019,10:00:00,1013.64,57,090,21.3,0.00,31.0,11.1,0.00,25.39,1011.82
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10.00,10-17-2019,10:00:00,1013.75,76,040,24.4,0.00,29.0,7.4,0.00,30.57,1012.99
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,10-17-2019,10:00:00,1012.92,62,090,22.4,0.00,30.6,13.0,0.00,27.06,1012.22
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10.00,10-17-2019,10:00:00,1012.79,57,030,21.9,0.00,31.5,9.3,0.00,26.32,1012.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,10-17-2019,10:00:00,1014.27,66,090,22.4,0.00,29.5,11.1,0.00,27.15,993.14
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.00,10-17-2019,10:00:00,1013.85,65,050,22.1,0.00,29.5,9.3,0.00,26.62,997.16
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,10-17-2019,10:00:00,1014.12,65,040,22.7,0.00,30.0,7.4,0.00,27.55,997.74
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,10-17-2019,10:00:00,1014.08,70,070,22.9,0.00,29.0,18.5,0.00,27.83,992.22
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,10-17-2019,10:00:00,1014.00,75,050,21.4,0.00,26.2,22.2,0.00,25.45,970.35
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,10-17-2019,10:00:00,1013.45,71,040,23.7,0.00,29.5,7.4,0.00,29.33,992.93
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,10-17-2019,10:00:00,1015.76,72,060,23.8,0.00,29.4,16.7,0.00,29.41,994.93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,10-17-2019,10:00:00,1012.79,69,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.1,0.00,30.6,0.0,0.10,30.09,1012.36
