WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,LandVisibility,WindSpeed,VaporPressure,Rainfall,StationPressure,MeanSeaLevelPressure,AirTemperature,MaximumTemperature,WindDirection
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-30-2019,19:00:00,52,20.6,10.00,22.2,24.28,0.00,1004.99,1005.68,31.7,34.1,270
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-30-2019,19:00:00,69,24.7,7.00,3.7,31.10,0.00,1003.81,1004.50,31.1,34.7,240
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-30-2019,19:00:00,53,21.8,10.00,11.1,26.15,0.00,982.96,1003.66,32.7,36.2,300
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.10,07-30-2019,19:00:00,71,23.9,9.00,0.0,29.63,0.00,987.21,1003.72,29.8,33.5,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,42.30,07-30-2019,19:00:00,81,25.1,8.00,0.0,31.94,0.00,987.77,1004.05,28.7,33.6,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,4.00,07-30-2019,19:00:00,63,22.8,10.00,0.0,27.68,4.00,982.49,1004.03,30.5,34.5,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-30-2019,19:00:00,59,20.5,10.00,11.1,24.18,0.00,961.76,1004.57,29.3,31.6,220
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1.00,07-30-2019,19:00:00,73,23.6,10.00,0.0,29.19,0.00,983.73,1004.10,29.0,35.0,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.00,07-30-2019,19:00:00,83,25.0,9.00,3.7,31.59,0.00,984.55,1005.25,28.1,31.9,270
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-30-2019,19:00:00,50,20.3,10.00,11.1,23.86,0.00,1005.34,1005.77,31.9,35.4,300
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.01,07-30-2019,19:00:00,76,25.8,6.00,0.0,33.13,0.00,1002.92,1004.31,30.4,33.6,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-30-2019,19:00:00,77,25.5,8.00,0.0,32.59,0.00,999.58,1004.45,30.0,33.2,000
