WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,DewPoint,StationPressure,Rainfall,WindSpeed,VaporPressure,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-19-2019,13:00:00,7.50,1007.00,67,23.9,976.55,0.00,0.0,29.73,12.00,30.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,280,08-19-2019,13:00:00,0.00,1003.52,74,18.2,844.85,0.00,11.1,20.91,12.00,23.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,200,08-19-2019,13:00:00,2.00,1005.06,57,22.6,962.47,0.00,9.3,27.49,15.00,32.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-19-2019,13:00:00,0.00,1004.70,57,23.8,960.42,0.00,0.0,29.41,15.00,33.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-19-2019,13:00:00,35.60,1006.34,73,24.6,969.25,0.00,0.0,30.87,12.00,30.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-19-2019,13:00:00,0.00,1004.85,56,24.0,961.07,0.00,0.0,29.87,12.00,34.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,130,08-19-2019,13:00:00,45.10,1006.73,73,25.7,980.46,0.00,5.6,33.06,12.00,31.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,240,08-19-2019,13:00:00,1.60,1006.85,57,23.3,985.55,0.00,7.4,28.56,15.00,32.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-19-2019,13:00:00,29.20,1008.01,66,23.6,984.24,0.00,0.0,29.09,10.00,30.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,100,08-19-2019,13:00:00,0.01,1006.45,60,23.3,972.63,0.00,3.7,28.58,10.00,32.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-19-2019,13:00:00,0.40,1006.39,57,23.6,979.51,0.00,0.0,29.21,10.00,33.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-19-2019,13:00:00,0.00,1006.19,56,23.2,973.40,0.00,0.0,28.40,12.00,33.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,200,08-19-2019,13:00:00,0.40,1006.17,58,23.6,988.07,0.00,3.7,29.17,15.00,33.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-19-2019,13:00:00,0.50,1005.63,60,23.8,983.30,0.00,0.0,29.50,10.00,32.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,060,08-19-2019,13:00:00,1.50,1006.08,76,25.3,976.58,1.50,9.3,32.30,10.00,30.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-19-2019,13:00:00,10.20,1006.28,68,24.8,971.42,0.60,0.0,31.35,7.00,31.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,320,08-19-2019,13:00:00,0.00,1005.27,57,23.3,976.22,0.00,7.4,28.56,17.00,32.8
