WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,DewPoint,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,WindDirection
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-10-2019,01:00:00,980.66,10.00,92,1000.38,0.0,26.1,33.78,0.00,14.60,27.5,000
48353,LOEI,เลย,เลย,17.45000,101.73333,08-10-2019,01:00:00,972.40,10.00,93,1000.94,0.0,24.8,31.38,0.10,10.80,26.0,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-10-2019,01:00:00,980.83,12.00,87,1000.82,0.0,25.4,32.48,0.00,3.30,27.7,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-10-2019,01:00:00,980.14,10.00,94,1001.83,0.0,24.7,31.08,1.50,20.30,25.7,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-10-2019,01:00:00,981.46,10.00,97,1000.89,0.0,25.4,32.37,2.50,42.10,25.8,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-10-2019,01:00:00,984.61,7.00,94,1001.33,0.0,24.6,30.90,2.40,2.80,25.6,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-10-2019,01:00:00,984.31,10.00,95,1001.75,0.0,23.7,29.33,11.70,11.90,24.6,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-10-2019,01:00:00,975.03,9.00,90,1000.59,0.0,25.4,32.53,0.00,1.00,27.3,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-10-2019,01:00:00,995.20,6.00,99,1000.98,3.7,25.3,32.34,2.00,12.40,25.5,240
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-10-2019,01:00:00,994.02,7.00,96,1000.18,0.0,25.8,33.19,2.50,19.70,26.5,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-10-2019,01:00:00,985.38,9.00,91,1001.77,0.0,24.5,30.76,0.00,0.01,26.1,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-10-2019,01:00:00,978.57,6.00,96,1000.98,11.1,23.3,28.53,13.20,13.30,24.0,150
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-10-2019,01:00:00,987.27,5.00,77,1001.55,3.7,23.2,28.45,9.50,12.00,27.6,200
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-10-2019,01:00:00,984.71,6.00,98,1001.11,0.0,24.7,31.12,3.20,9.00,25.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-10-2019,01:00:00,996.19,8.00,95,1001.41,0.0,25.1,31.93,4.80,6.10,26.0,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-10-2019,01:00:00,987.07,10.00,91,1000.19,0.0,25.1,31.91,0.00,5.20,26.7,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-10-2019,01:00:00,992.34,7.00,93,1001.63,0.0,25.2,32.07,3.00,3.00,26.5,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-10-2019,01:00:00,980.18,5.00,96,1001.82,3.7,25.3,32.20,0.60,2.50,26.0,110
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-10-2019,01:00:00,984.48,10.00,96,1001.95,0.0,25.3,32.20,0.00,0.60,26.0,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-10-2019,01:00:00,990.26,10.00,96,1006.18,0.0,24.3,30.32,5.40,8.40,25.0,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-10-2019,01:00:00,981.80,8.00,94,1000.60,0.0,25.3,32.23,7.50,40.00,26.3,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-10-2019,01:00:00,950.82,5.00,96,1002.24,0.0,22.2,26.83,2.40,20.40,23.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-10-2019,01:00:00,997.44,5.00,92,1001.37,0.0,25.6,32.77,0.00,5.00,27.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-10-2019,01:00:00,907.61,.30,98,1002.42,11.1,20.7,24.38,20.00,26.50,21.0,220
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-10-2019,01:00:00,985.88,6.00,94,1001.84,0.0,24.9,31.46,0.00,0.40,25.9,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-10-2019,01:00:00,997.33,8.00,97,1001.36,0.0,25.3,32.18,0.00,39.60,25.7,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-10-2019,01:00:00,992.02,6.00,97,1002.72,0.0,24.4,30.58,0.00,25.00,25.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-10-2019,01:00:00,1000.08,8.00,97,1002.01,5.6,24.9,31.52,0.20,3.20,25.5,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-10-2019,01:00:00,981.10,10.00,87,1001.89,5.6,24.1,29.97,0.00,1.20,26.4,210
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-10-2019,01:00:00,983.77,8.00,97,1001.44,0.0,24.8,31.22,2.50,32.40,25.2,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-10-2019,01:00:00,985.27,8.00,98,1001.43,0.0,24.9,31.49,4.00,26.70,25.2,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-10-2019,01:00:00,988.70,8.00,95,1002.75,9.3,24.4,30.60,13.90,13.90,25.3,230
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-10-2019,01:00:00,988.33,5.00,96,1003.20,0.0,24.3,30.32,20.20,20.20,25.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-10-2019,01:00:00,987.92,6.00,96,1002.60,0.0,24.8,31.25,4.70,12.30,25.5,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-10-2019,01:00:00,999.16,7.00,95,1002.17,0.0,25.3,32.32,0.01,9.40,26.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-10-2019,01:00:00,993.94,7.00,93,1001.88,0.0,24.6,31.00,0.00,4.10,25.8,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-10-2019,01:00:00,1001.34,6.00,94,1002.45,5.6,24.8,31.27,1.50,20.90,25.8,150
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-10-2019,01:00:00,988.26,8.00,90,1002.97,0.0,23.4,28.83,10.20,30.40,25.2,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-10-2019,01:00:00,869.57,.10,99,1004.03,3.7,19.6,22.85,9.00,74.40,19.8,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-10-2019,01:00:00,996.34,10.00,96,1002.23,0.0,24.3,30.32,0.00,8.40,25.0,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-10-2019,01:00:00,1002.02,8.00,92,1002.82,0.0,25.1,31.79,0.00,7.90,26.5,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-10-2019,01:00:00,1002.38,10.00,81,1002.83,11.1,24.9,31.54,0.00,8.90,28.5,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-10-2019,01:00:00,992.59,4.00,96,1003.92,0.0,24.5,30.69,0.00,7.00,25.2,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-10-2019,01:00:00,1001.37,10.00,95,1002.37,0.0,25.7,33.10,0.00,0.40,26.6,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-10-2019,01:00:00,1000.56,6.00,96,1002.38,0.0,24.7,31.06,0.80,41.00,25.4,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-10-2019,01:00:00,1001.15,5.00,83,1001.91,0.0,23.6,29.10,0.00,2.00,26.8,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-10-2019,01:00:00,1002.64,10.00,88,1003.34,7.4,25.6,32.88,0.00,9.40,27.9,230
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-10-2019,01:00:00,1002.12,7.00,93,1002.82,0.0,24.6,31.00,5.20,26.80,25.8,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-10-2019,01:00:00,981.43,8.00,87,1002.54,3.7,23.9,29.60,0.20,0.20,26.2,240
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-10-2019,01:00:00,986.07,5.00,97,1002.80,0.0,24.8,31.33,9.20,38.90,25.4,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-10-2019,01:00:00,986.82,5.00,93,1003.24,3.7,24.8,31.38,8.60,24.80,26.0,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-10-2019,01:00:00,980.77,10.00,86,1002.53,0.0,24.3,30.37,0.01,0.01,26.9,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-10-2019,01:00:00,959.57,8.00,91,1003.06,3.7,22.5,27.25,1.80,30.00,24.0,080
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-10-2019,01:00:00,982.54,10.00,84,1003.01,5.6,24.1,30.02,0.00,0.00,27.0,260
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-10-2019,01:00:00,982.71,7.00,100,1003.57,7.4,25.3,32.23,1.00,5.60,25.3,180
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-10-2019,01:00:00,1002.75,10.00,82,1003.18,5.6,24.0,29.77,0.00,16.70,27.3,250
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-10-2019,01:00:00,1001.80,6.00,97,1003.23,0.0,23.9,29.67,26.90,34.30,24.5,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-10-2019,01:00:00,998.10,6.00,95,1003.06,0.0,23.2,28.44,2.20,2.20,24.1,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-10-2019,01:00:00,999.39,10.00,78,1002.67,0.0,23.4,28.80,0.00,1.20,27.5,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-10-2019,01:00:00,1001.40,10.00,80,1002.50,1.9,23.3,28.67,0.00,2.40,27.0,250
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-10-2019,01:00:00,1002.78,10.00,81,1003.07,0.0,24.6,30.95,0.00,1.70,28.2,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-10-2019,01:00:00,1003.17,10.00,85,1003.66,0.0,25.1,31.95,0.00,1.00,28.0,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-10-2019,01:00:00,1001.90,10.00,76,1003.30,11.1,23.4,28.84,0.00,3.60,28.1,250
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-10-2019,01:00:00,996.68,10.00,93,1004.69,0.0,24.7,31.11,0.00,0.01,26.0,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-10-2019,01:00:00,1002.68,7.00,79,1002.97,7.4,24.8,31.29,0.00,3.00,28.8,180
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-10-2019,01:00:00,999.74,10.00,80,1002.84,0.0,25.2,31.98,0.00,0.50,29.0,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-10-2019,01:00:00,996.16,10.00,81,1003.05,7.4,24.4,30.56,0.00,0.70,28.0,230
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-10-2019,01:00:00,997.21,8.00,87,1002.81,7.4,23.2,28.51,0.00,0.00,25.6,250
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-10-2019,01:00:00,1002.62,10.00,85,1003.88,3.7,23.5,28.98,0.00,0.10,26.3,240
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-10-2019,01:00:00,1002.89,11.00,73,1003.32,5.6,22.2,26.69,0.00,28.10,27.5,270
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-10-2019,01:00:00,991.98,10.00,93,1004.26,0.0,24.3,30.36,0.00,0.40,25.6,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-10-2019,01:00:00,1003.38,10.00,80,1004.09,0.0,23.6,29.15,0.00,0.00,27.4,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-10-2019,01:00:00,1001.30,10.00,78,1003.72,7.4,23.9,29.65,0.00,12.30,28.1,240
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-10-2019,01:00:00,1004.12,8.00,83,1004.64,22.2,25.2,32.10,0.00,0.10,28.5,300
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-10-2019,01:00:00,998.04,8.00,83,1003.17,0.0,24.3,30.42,0.00,3.30,27.5,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-10-2019,01:00:00,1003.28,7.00,93,1003.69,0.0,25.5,32.54,0.30,66.10,26.6,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-10-2019,01:00:00,1001.14,8.00,97,1003.91,0.0,25.4,32.48,10.30,94.70,26.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-10-2019,01:00:00,1004.55,10.00,83,1005.34,9.3,22.4,27.04,0.00,1.40,25.5,240
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-10-2019,01:00:00,1003.53,6.00,92,1003.99,11.1,25.7,32.97,2.10,102.70,27.1,260
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-10-2019,01:00:00,1005.52,7.00,93,1006.20,0.0,23.8,29.52,0.10,35.70,25.0,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-10-2019,01:00:00,1005.31,8.00,90,1006.85,11.1,23.4,28.83,0.00,53.00,25.2,250
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-10-2019,01:00:00,1007.07,10.00,94,1007.99,5.6,24.2,30.15,2.50,87.60,25.2,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-10-2019,01:00:00,1006.31,8.00,81,1007.00,9.3,23.6,29.04,0.00,1.70,27.2,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-10-2019,01:00:00,1007.29,7.00,99,1008.10,7.4,23.9,29.74,1.30,8.70,24.1,210
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-10-2019,01:00:00,1006.23,9.00,93,1006.87,3.7,23.4,28.81,0.30,3.00,24.6,120
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-10-2019,01:00:00,1005.45,10.00,96,1005.86,7.4,23.8,29.41,0.30,0.70,24.5,250
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-10-2019,01:00:00,1005.10,6.00,84,1009.33,9.3,23.1,28.18,0.00,1.20,26.0,230
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-10-2019,01:00:00,1007.02,6.00,98,1008.65,0.0,23.5,28.95,5.00,16.20,23.8,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-10-2019,01:00:00,1004.99,7.00,97,1008.51,0.0,23.4,28.78,0.20,3.90,24.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-10-2019,01:00:00,1006.53,8.00,96,1007.90,0.0,23.6,29.05,0.10,0.80,24.3,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-10-2019,01:00:00,1008.03,8.00,94,1008.92,14.8,24.5,30.71,36.80,109.00,25.5,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-10-2019,01:00:00,1004.70,7.00,96,1008.29,0.0,23.9,29.59,3.00,7.80,24.6,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-10-2019,01:00:00,1008.20,8.00,90,1008.63,0.0,24.8,31.24,0.40,17.20,26.5,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-10-2019,01:00:00,1007.55,7.00,87,1008.54,7.4,25.3,32.20,1.00,39.40,27.7,270
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-10-2019,01:00:00,1007.58,10.00,80,1008.39,29.6,24.9,31.46,0.00,11.20,28.6,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-10-2019,01:00:00,1006.64,10.00,96,1008.47,0.0,23.3,28.53,2.00,31.50,24.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-10-2019,01:00:00,1006.88,10.00,90,1007.64,5.6,22.8,27.78,0.40,3.50,24.6,210
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-10-2019,01:00:00,1003.86,10.00,96,1007.90,5.6,23.3,28.53,0.80,20.00,24.0,120
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-10-2019,01:00:00,1007.34,10.00,96,1008.03,0.0,23.8,29.41,0.00,42.40,24.5,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-10-2019,01:00:00,1006.66,10.00,92,1007.79,0.0,23.6,29.08,0.20,11.40,24.9,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-10-2019,01:00:00,1005.23,10.00,95,1008.19,0.0,23.1,28.27,0.80,27.50,24.0,000
