WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,DewPoint,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-10-2019,01:00:00,970.48,6.00,95,1001.20,0.0,25.2,32.12,0.50,12.10,26.1,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-10-2019,01:00:00,841.77,.10,99,1002.28,9.3,18.6,21.46,0.00,11.30,18.8,080
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-10-2019,01:00:00,957.58,10.00,84,1000.97,18.5,22.4,27.12,0.00,0.30,25.4,010
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-10-2019,01:00:00,955.78,10.00,93,1001.13,0.0,23.8,29.52,0.00,2.70,25.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-10-2019,01:00:00,963.76,6.00,99,1001.25,0.0,24.9,31.58,0.00,4.50,25.1,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-10-2019,01:00:00,955.63,7.00,95,1000.41,3.7,24.7,31.17,0.00,4.40,25.6,060
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-10-2019,01:00:00,975.07,6.00,96,1001.67,0.0,25.2,32.01,0.00,16.40,25.9,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-10-2019,01:00:00,979.68,13.00,97,1001.39,0.0,24.8,31.33,1.50,5.80,25.4,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-10-2019,01:00:00,988.14,6.00,92,1012.44,0.0,24.0,29.91,0.00,2.70,25.5,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-10-2019,01:00:00,967.20,10.00,93,1001.52,0.0,24.8,31.38,0.10,13.00,26.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-10-2019,01:00:00,973.45,10.00,97,1000.81,0.0,25.6,32.87,0.00,1.80,26.2,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-10-2019,01:00:00,967.65,8.00,97,1001.01,0.0,25.5,32.68,0.00,3.00,26.1,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-10-2019,01:00:00,982.17,10.00,96,1000.61,3.7,24.8,31.25,0.00,12.30,25.5,230
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-10-2019,01:00:00,978.22,6.00,97,1000.94,0.0,25.3,32.29,0.00,25.80,25.9,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-10-2019,01:00:00,972.04,5.00,96,1001.95,0.0,23.8,29.41,0.00,30.20,24.5,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-10-2019,01:00:00,965.73,6.00,95,1001.06,0.0,24.9,31.55,0.00,1.20,25.8,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-10-2019,01:00:00,971.05,3.00,98,1000.67,0.0,25.0,31.68,0.50,13.30,25.3,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-10-2019,01:00:00,993.49,8.00,96,1000.77,0.0,25.3,32.20,0.01,18.70,26.0,000
