WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,MeanSeaLevelPressure,LandVisibility,Rainfall,WindSpeed,StationPressure,Rainfall24Hr,AirTemperature,DewPoint,VaporPressure,MaximumTemperature
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,10-17-2019,19:00:00,80,1011.57,8.00,0.00,0.0,1005.41,0.50,29.5,25.7,33.00,34.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-17-2019,19:00:00,62,1011.33,10.00,0.00,0.0,994.97,0.00,29.8,21.6,25.84,33.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,050,10-17-2019,19:00:00,58,1008.92,10.00,0.00,5.6,986.75,0.00,29.5,20.4,24.01,34.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,10-17-2019,19:00:00,81,1011.32,7.00,0.00,0.0,996.94,26.00,28.5,24.9,31.54,33.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-17-2019,19:00:00,82,1011.30,8.00,0.00,0.0,994.86,20.00,27.2,23.9,29.58,32.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,10-17-2019,19:00:00,68,1010.65,10.00,0.00,0.0,1005.44,0.00,29.5,22.9,27.96,34.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-17-2019,19:00:00,62,1009.01,12.00,0.00,0.0,995.94,0.00,30.5,22.4,27.14,34.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,280,10-17-2019,19:00:00,73,1010.85,12.00,0.00,1.9,1001.57,4.10,29.8,24.5,30.75,34.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,030,10-17-2019,19:00:00,70,1011.30,10.00,0.00,5.6,989.65,0.00,28.6,22.6,27.36,33.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,040,10-17-2019,19:00:00,69,1010.34,10.00,0.00,5.6,992.95,0.00,29.9,23.5,29.00,33.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,040,10-17-2019,19:00:00,61,1011.34,10.00,0.00,3.7,995.52,0.00,28.6,20.2,23.73,34.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,040,10-17-2019,19:00:00,77,1010.32,10.00,0.00,1.9,991.44,0.00,28.1,23.6,29.11,33.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-17-2019,19:00:00,81,1011.71,8.00,0.00,0.0,960.10,0.00,24.8,21.3,25.35,31.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,10-17-2019,19:00:00,70,1009.73,9.00,0.00,0.0,1005.82,0.00,31.4,25.3,32.30,34.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,10-17-2019,19:00:00,88,1012.42,6.00,0.00,0.0,916.79,13.70,21.4,19.3,22.44,25.8
