WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,LandVisibility,Rainfall,VaporPressure,MinimumTemperature,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.4,09-22-2019,07:00:00,13.0,31.60,93,9.00,0.00,30.63,23.9,25.6,050,1010.65,1011.36
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.7,09-22-2019,07:00:00,3.7,31.00,94,6.00,18.50,29.25,23.8,24.7,080,1010.15,1010.86
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.5,09-22-2019,07:00:00,0.0,33.40,97,7.00,0.10,30.77,23.9,25.1,000,990.40,1011.78
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.8,09-22-2019,07:00:00,0.0,21.50,96,6.00,14.10,27.66,22.1,23.5,000,995.01,1012.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,21.8,09-22-2019,07:00:00,5.6,25.10,92,2.00,19.50,26.17,22.2,23.2,080,995.60,1012.33
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.4,09-22-2019,07:00:00,27.8,27.30,91,6.00,0.60,27.00,23.5,24.0,060,989.71,1011.89
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.6,09-22-2019,07:00:00,5.6,12.50,96,3.00,0.00,27.49,22.5,23.4,090,967.70,1011.65
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.6,09-22-2019,07:00:00,14.8,56.60,100,6.00,10.00,27.40,22.3,22.6,070,990.32,1011.27
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.6,09-22-2019,07:00:00,5.6,19.60,100,7.00,0.00,30.91,23.8,24.6,090,992.46,1013.58
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.1,09-22-2019,07:00:00,5.6,10.50,97,9.00,0.00,31.79,24.9,25.5,310,1006.66,1007.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.6,09-22-2019,07:00:00,0.0,106.90,97,6.00,3.10,29.04,23.6,24.0,000,1009.09,1010.52
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.6,09-22-2019,07:00:00,0.0,18.30,99,7.00,3.50,29.20,23.7,23.8,000,1005.99,1011.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.4,09-22-2019,07:00:00,0.0,33.30,96,2.00,0.60,30.50,22.8,25.1,000,1007.95,1011.27
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.8,09-22-2019,07:00:00,0.0,15.60,98,8.00,0.00,31.31,24.4,25.1,000,1010.05,1011.17
