WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,VaporPressure,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,DewPoint,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.9,07-16-2019,01:00:00,80,28.49,0.00,0.00,1004.96,8.00,974.20,23.2,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.0,07-16-2019,01:00:00,87,20.27,0.00,0.00,1002.76,8.00,842.77,17.7,270,14.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.5,07-16-2019,01:00:00,71,27.44,0.00,0.00,1003.20,12.00,960.15,22.6,000,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.0,07-16-2019,01:00:00,81,30.56,0.00,0.00,1002.93,10.00,957.94,24.4,250,13.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.6,07-16-2019,01:00:00,87,30.34,0.00,0.00,1003.15,6.00,965.77,24.3,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.0,07-16-2019,01:00:00,84,30.02,0.00,0.00,1003.30,10.00,958.59,24.1,160,14.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.0,07-16-2019,01:00:00,70,27.83,0.00,0.00,1004.29,10.00,977.89,22.9,210,5.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.0,07-16-2019,01:00:00,73,26.06,1.10,0.00,1005.10,14.00,983.43,21.8,180,9.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.3,07-16-2019,01:00:00,88,28.49,0.50,0.00,1006.24,6.00,982.08,23.2,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.5,07-16-2019,01:00:00,71,25.91,0.00,0.00,1004.47,10.00,970.21,21.7,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.0,07-16-2019,01:00:00,70,26.54,0.00,0.00,1006.84,10.00,979.47,22.1,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.0,07-16-2019,01:00:00,70,26.54,0.00,0.00,1004.19,10.00,970.93,22.1,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.3,07-16-2019,01:00:00,78,28.43,0.01,0.00,1004.04,10.00,985.64,23.2,000,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,28.5,07-16-2019,01:00:00,71,27.71,0.00,0.00,1004.33,10.00,981.73,22.8,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.0,07-16-2019,01:00:00,87,30.83,0.00,0.00,1004.40,8.00,974.66,24.5,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.8,07-16-2019,01:00:00,86,30.18,0.00,0.00,1003.80,8.00,968.48,24.2,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.4,07-16-2019,01:00:00,90,29.19,0.00,0.00,1003.93,12.00,974.22,23.6,000,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.8,07-16-2019,01:00:00,82,28.84,1.00,0.00,1004.69,8.00,997.40,23.4,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.0,07-16-2019,01:00:00,79,33.46,0.00,0.00,1003.93,11.00,984.30,25.9,000,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,26.6,07-16-2019,01:00:00,85,29.54,0.00,0.00,1004.58,12.00,976.00,23.8,000,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.7,07-16-2019,01:00:00,84,31.36,0.00,0.00,1003.83,12.00,983.78,24.8,000,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,07-16-2019,01:00:00,90,32.21,0.00,0.00,1004.67,12.00,983.02,25.3,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.7,07-16-2019,01:00:00,80,31.66,0.00,0.00,1003.92,10.00,984.61,25.0,200,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.4,07-16-2019,01:00:00,91,33.29,0.10,0.00,1005.13,10.00,987.79,25.8,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.7,07-16-2019,01:00:00,86,30.26,0.00,0.00,1003.35,10.00,977.66,24.2,000,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.6,07-16-2019,01:00:00,69,27.09,0.00,0.00,1004.33,10.00,998.59,22.4,260,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.0,07-16-2019,01:00:00,71,28.37,0.00,0.00,1004.53,10.00,998.40,23.2,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.0,07-16-2019,01:00:00,77,27.62,0.00,0.00,1005.17,10.00,988.77,22.7,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.0,07-16-2019,01:00:00,96,28.53,31.30,0.00,1006.10,10.00,983.58,23.3,210,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.0,07-16-2019,01:00:00,77,27.36,1.00,0.00,1005.70,8.00,991.34,22.6,280,9.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.5,07-16-2019,01:00:00,80,27.77,0.00,0.00,1005.08,7.00,988.70,22.8,230,7.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.3,07-16-2019,01:00:00,75,28.95,0.00,0.00,1004.98,10.00,999.79,23.5,250,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.4,07-16-2019,01:00:00,81,29.69,0.00,0.00,1003.53,10.00,990.40,23.9,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.7,07-16-2019,01:00:00,72,26.78,0.00,0.00,1004.68,11.00,995.40,22.2,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.0,07-16-2019,01:00:00,70,26.54,0.00,0.00,1004.43,9.00,982.88,22.1,210,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.5,07-16-2019,01:00:00,78,30.15,0.00,0.00,1003.68,10.00,986.32,24.2,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.0,07-16-2019,01:00:00,78,31.13,0.00,0.00,1004.16,10.00,988.47,24.7,000,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.5,07-16-2019,01:00:00,74,28.78,0.10,0.00,1003.55,8.00,984.82,23.4,000,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,07-16-2019,01:00:00,92,25.84,5.10,0.00,1009.06,6.00,957.28,21.6,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,28.1,07-16-2019,01:00:00,80,30.48,0.00,0.00,1004.69,6.00,1000.75,24.4,310,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,07-16-2019,01:00:00,97,23.55,8.90,0.00,1006.69,.80,911.35,20.1,270,18.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.8,07-16-2019,01:00:00,78,30.73,0.01,0.00,1004.56,8.00,988.71,24.5,180,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.5,07-16-2019,01:00:00,84,30.97,0.00,0.00,1005.08,10.00,1001.06,24.6,000,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.2,07-16-2019,01:00:00,82,27.75,0.00,0.00,1006.11,8.00,995.41,22.8,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.9,07-16-2019,01:00:00,77,27.44,0.60,0.00,1005.44,8.00,1003.51,22.6,150,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.8,07-16-2019,01:00:00,74,27.75,0.00,0.00,1005.89,10.00,985.11,22.8,230,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.3,07-16-2019,01:00:00,82,29.77,2.10,0.00,1004.71,10.00,987.11,24.0,200,13.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.8,07-16-2019,01:00:00,84,31.56,0.00,0.00,1004.69,10.00,988.62,24.9,190,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.9,07-16-2019,01:00:00,69,27.65,0.00,0.00,1005.93,10.00,992.00,22.7,280,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.7,07-16-2019,01:00:00,83,30.81,0.30,0.00,1005.91,8.00,991.13,24.5,000,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.5,07-16-2019,01:00:00,78,28.80,0.00,0.00,1005.42,6.00,990.80,23.4,300,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.1,07-16-2019,01:00:00,77,29.11,0.00,0.00,1005.19,10.00,1002.18,23.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.6,07-16-2019,01:00:00,78,28.71,0.00,0.00,1004.89,7.00,996.98,23.4,000,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.7,07-16-2019,01:00:00,84,29.45,0.00,0.00,1005.63,8.00,1004.52,23.8,160,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.5,07-16-2019,01:00:00,89,30.97,0.00,0.00,1005.71,8.00,991.02,24.6,000,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.2,07-16-2019,01:00:00,98,21.79,0.00,0.00,1006.60,3.00,871.54,18.9,280,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.8,07-16-2019,01:00:00,83,31.00,0.00,0.00,1005.21,10.00,999.36,24.6,000,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.0,07-16-2019,01:00:00,83,31.39,0.00,0.00,1005.87,8.00,1005.07,24.8,230,11.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.8,07-16-2019,01:00:00,92,32.38,1.00,0.00,1005.91,10.00,1005.47,25.4,230,7.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.0,07-16-2019,01:00:00,92,29.26,7.40,0.00,1007.64,4.00,996.26,23.7,000,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.0,07-16-2019,01:00:00,78,27.88,0.00,0.00,1006.00,10.00,1004.99,22.9,210,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.1,07-16-2019,01:00:00,84,30.20,0.00,0.00,1005.54,7.00,1003.72,24.2,150,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.0,07-16-2019,01:00:00,73,26.06,0.00,0.00,1005.65,4.00,1004.89,21.8,200,3.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.0,07-16-2019,01:00:00,80,28.67,18.20,0.01,1005.36,9.00,1004.66,23.3,260,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.6,07-16-2019,01:00:00,87,32.28,0.60,0.00,1005.92,7.00,1005.22,25.3,000,0.0
