WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,VaporPressure,AirTemperature,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,Rainfall,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1017.45,09-26-2019,10:00:00,23.2,28.34,25.8,8.00,986.20,000,0.00,0.00,0.0,85
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1015.02,09-26-2019,10:00:00,15.0,17.07,19.3,8.00,852.72,120,0.00,0.00,11.1,76
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1017.69,09-26-2019,10:00:00,19.1,22.07,27.9,10.00,973.94,100,0.00,0.00,11.1,59
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1017.77,09-26-2019,10:00:00,19.8,23.14,27.5,15.00,972.04,000,0.00,0.00,0.0,63
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1017.85,09-26-2019,10:00:00,20.8,24.62,26.9,10.00,979.96,000,0.00,0.00,0.0,70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1017.80,09-26-2019,10:00:00,21.5,25.61,26.0,8.00,972.30,290,0.00,0.00,7.4,76
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1018.10,09-26-2019,10:00:00,21.1,24.96,26.8,9.00,991.14,180,0.00,0.00,3.7,71
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1017.00,09-26-2019,10:00:00,22.8,27.77,29.4,4.00,995.25,050,0.00,0.00,3.7,68
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1016.92,09-26-2019,10:00:00,22.1,26.54,28.0,8.00,992.71,000,0.00,0.00,0.0,70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1017.42,09-26-2019,10:00:00,20.0,23.32,28.8,10.00,982.86,030,0.00,0.00,3.7,59
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1017.51,09-26-2019,10:00:00,21.8,26.13,28.5,10.00,989.90,000,0.00,0.00,0.0,67
