WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,VaporPressure,AirTemperature,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,Rainfall,WindSpeed,RelativeHumidity
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1017.08,09-26-2019,10:00:00,21.9,26.28,28.0,10.00,983.39,000,0.00,0.00,0.0,70
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1016.99,09-26-2019,10:00:00,23.6,29.09,27.8,4.00,998.38,030,0.00,0.00,3.7,78
48331,NAN,น่าน,น่าน,18.77972,100.77778,1017.81,09-26-2019,10:00:00,21.0,24.79,26.7,10.00,994.77,000,0.00,0.00,0.0,71
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1018.27,09-26-2019,10:00:00,20.3,23.80,25.2,12.00,987.94,000,0.00,0.00,0.0,74
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1017.20,09-26-2019,10:00:00,23.5,28.91,29.0,8.00,981.67,000,0.00,0.00,0.0,72
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1016.58,09-26-2019,10:00:00,22.8,27.81,28.7,7.00,986.82,140,0.00,0.00,5.6,71
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1016.04,09-26-2019,10:00:00,22.2,26.73,31.0,9.00,1008.77,000,0.00,0.00,0.0,60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1016.98,09-26-2019,10:00:00,22.3,26.93,30.1,6.00,997.10,040,0.00,0.00,7.4,63
48353,LOEI,เลย,เลย,17.45000,101.73333,1017.24,09-26-2019,10:00:00,20.2,23.67,29.6,6.00,988.58,120,0.00,0.00,3.7,57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1016.97,09-26-2019,10:00:00,20.7,24.37,30.0,12.00,996.81,040,0.00,0.00,3.7,57
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1017.05,09-26-2019,10:00:00,19.8,23.02,30.4,7.00,995.36,050,0.00,0.00,11.1,53
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1016.34,09-26-2019,10:00:00,21.0,24.81,30.1,8.00,996.88,100,0.00,0.00,7.4,58
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1016.78,09-26-2019,10:00:00,18.2,20.85,30.9,10.00,1000.10,000,0.00,0.00,0.0,47
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1016.77,09-26-2019,10:00:00,21.8,26.15,31.7,12.00,999.47,280,0.00,0.00,3.7,56
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1015.61,09-26-2019,10:00:00,19.8,23.04,31.0,9.00,989.97,040,0.00,0.00,9.3,51
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1016.56,09-26-2019,10:00:00,25.0,31.76,30.3,8.00,1010.79,000,0.00,0.00,0.0,74
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1016.54,09-26-2019,10:00:00,24.9,31.56,30.2,8.00,1010.36,000,0.00,0.00,0.0,74
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1017.13,09-26-2019,10:00:00,20.0,23.36,30.3,10.00,1000.71,340,0.00,0.00,7.4,54
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1014.74,09-26-2019,10:00:00,22.1,26.62,29.5,10.00,992.44,050,0.00,0.00,5.6,65
48376,TAK,ตาก,ตาก,16.87833,99.14333,1017.26,09-26-2019,10:00:00,23.5,29.02,29.2,6.00,1002.83,000,0.00,0.00,0.0,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1017.07,09-26-2019,10:00:00,22.2,26.83,31.2,8.00,1000.76,120,0.00,0.00,5.6,59
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1016.83,09-26-2019,10:00:00,21.7,26.02,31.2,8.00,1011.62,290,0.00,0.00,5.6,57
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1015.01,09-26-2019,10:00:00,22.8,27.82,31.0,12.00,1001.88,090,0.00,0.00,5.6,62
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1016.60,09-26-2019,10:00:00,23.9,29.56,30.9,8.00,1007.31,350,0.00,0.00,5.6,66
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1016.60,09-26-2019,10:00:00,21.1,25.06,29.8,8.00,994.91,040,0.00,0.00,9.3,60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1016.92,09-26-2019,10:00:00,22.7,27.55,30.0,10.00,999.42,020,0.00,0.00,9.3,65
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1016.05,09-26-2019,10:00:00,20.9,24.66,30.6,12.00,1000.26,050,0.00,0.00,14.8,56
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1015.86,09-26-2019,10:00:00,22.9,27.88,29.6,10.00,996.97,070,0.00,0.00,7.4,67
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1015.33,09-26-2019,10:00:00,20.4,23.96,26.2,10.00,963.77,000,0.00,0.00,0.0,70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1016.11,09-26-2019,10:00:00,23.1,28.26,30.8,3.00,1012.16,000,0.00,0.00,0.0,64
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1016.45,09-26-2019,10:00:00,19.1,22.14,24.6,8.00,921.40,030,0.00,0.00,11.1,72
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1016.37,09-26-2019,10:00:00,20.7,24.41,28.7,10.00,1000.33,060,0.00,0.00,7.4,62
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1016.10,09-26-2019,10:00:00,24.4,30.49,31.5,8.00,1012.09,000,0.00,0.00,0.0,66
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1016.91,09-26-2019,10:00:00,20.8,24.48,30.5,10.00,1006.25,070,0.00,0.00,7.4,56
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1016.79,09-26-2019,10:00:00,22.2,26.73,31.0,10.00,1014.86,100,0.00,0.00,5.6,60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1016.18,09-26-2019,10:00:00,19.1,22.10,30.9,9.00,995.40,060,0.00,0.00,7.4,49
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1016.34,09-26-2019,10:00:00,19.3,22.33,30.0,10.00,998.69,060,0.00,0.00,18.5,53
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1015.80,09-26-2019,10:00:00,20.4,23.96,30.5,10.00,999.69,030,0.00,0.00,9.3,55
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1015.58,09-26-2019,10:00:00,22.1,26.66,30.1,10.00,1001.57,360,0.00,0.00,13.0,62
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1015.98,09-26-2019,10:00:00,22.9,27.90,29.9,10.00,1001.17,000,0.00,0.00,0.0,66
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1015.85,09-26-2019,10:00:00,22.7,27.55,30.0,10.00,1001.19,040,0.00,0.00,14.8,65
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1016.21,09-26-2019,10:00:00,21.8,26.17,30.7,8.00,1013.20,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.00,0.0,59
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1015.85,09-26-2019,10:00:00,22.3,26.89,31.8,10.00,1007.95,020,0.00,0.00,18.5,57
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1014.78,09-26-2019,10:00:00,22.3,26.89,30.8,10.00,1013.67,050,0.00,0.00,18.5,61
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1016.04,09-26-2019,10:00:00,22.8,27.82,30.0,8.00,1001.37,090,0.00,0.00,7.4,66
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1013.79,09-26-2019,10:00:00,20.1,23.51,23.5,8.00,879.57,070,0.00,0.00,5.6,81
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1015.96,09-26-2019,10:00:00,22.2,26.73,31.0,10.00,1010.11,120,0.00,0.00,9.3,60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1015.19,09-26-2019,10:00:00,23.5,28.98,32.3,12.00,1014.39,000,0.01,0.00,0.0,60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1015.68,09-26-2019,10:00:00,22.9,27.88,29.6,10.00,1015.23,120,0.00,0.00,7.4,67
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1015.94,09-26-2019,10:00:00,23.4,28.78,28.5,8.00,1004.59,000,0.00,0.00,0.0,74
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1015.97,09-26-2019,10:00:00,22.2,26.72,32.0,10.00,1014.97,040,0.00,0.00,5.6,56
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1016.08,09-26-2019,10:00:00,21.2,25.14,31.3,10.00,1014.27,040,0.00,0.00,5.6,55
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1015.60,09-26-2019,10:00:00,22.8,27.74,31.1,9.00,1014.83,000,0.00,0.00,0.0,61
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1015.44,09-26-2019,10:00:00,22.6,27.35,30.9,10.00,1014.74,070,0.00,0.00,9.3,61
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1014.62,09-26-2019,10:00:00,22.1,26.58,32.5,12.00,1013.93,000,0.00,0.00,0.0,54
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1016.45,09-26-2019,10:00:00,22.0,26.35,29.5,10.00,995.28,050,0.00,0.00,5.6,64
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1015.91,09-26-2019,10:00:00,23.2,28.37,30.0,9.00,999.21,050,0.00,0.00,7.4,67
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1016.22,09-26-2019,10:00:00,23.4,28.80,29.8,10.00,999.79,050,0.00,0.00,11.1,69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1016.45,09-26-2019,10:00:00,22.3,26.87,29.2,10.00,994.55,080,0.00,0.00,9.3,66
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1015.56,09-26-2019,10:00:00,21.0,24.91,28.4,14.00,972.15,080,0.00,0.00,25.9,64
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1015.95,09-26-2019,10:00:00,21.9,26.21,30.0,12.00,995.42,040,0.00,0.00,9.3,62
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1017.84,09-26-2019,10:00:00,24.3,30.44,29.5,7.00,996.97,060,0.00,0.00,20.4,74
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1015.25,09-26-2019,10:00:00,23.3,28.62,30.7,9.00,1014.82,060,0.00,0.00,3.7,65
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1014.49,09-26-2019,10:00:00,23.2,28.50,30.5,11.00,1013.08,070,0.00,0.00,3.7,65
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1015.30,09-26-2019,10:00:00,24.1,29.94,30.1,12.00,1010.38,000,0.00,0.00,0.0,70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1015.80,09-26-2019,10:00:00,22.5,27.27,32.0,7.00,1012.53,000,0.00,0.00,0.0,57
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1015.77,09-26-2019,10:00:00,23.5,28.92,31.0,10.00,1014.67,000,0.00,0.00,0.0,64
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1015.13,09-26-2019,10:00:00,23.3,28.68,31.3,10.00,1014.83,080,0.00,0.00,7.4,63
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1015.07,09-26-2019,10:00:00,23.8,29.50,32.7,10.00,1014.39,070,0.00,0.00,5.6,60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1015.48,09-26-2019,10:00:00,23.8,29.51,32.0,10.00,1014.99,000,0.00,0.00,0.0,62
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1015.25,09-26-2019,10:00:00,23.4,28.76,31.2,9.00,1013.84,150,0.00,0.00,5.6,63
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1015.25,09-26-2019,10:00:00,23.7,29.30,29.2,8.00,1013.57,060,0.00,0.00,13.0,72
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1017.08,09-26-2019,10:00:00,23.5,28.91,30.0,10.00,1009.07,230,0.00,0.00,3.7,68
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1014.75,09-26-2019,10:00:00,23.7,29.24,31.3,10.00,1014.47,270,0.00,0.00,7.4,64
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1014.47,09-26-2019,10:00:00,24.5,30.65,32.0,10.00,1011.37,250,0.00,0.00,9.3,64
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1014.35,09-26-2019,10:00:00,24.0,29.85,30.9,8.00,1007.45,000,0.00,0.00,0.0,67
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1015.53,09-26-2019,10:00:00,22.2,26.73,31.0,10.00,1009.96,090,0.00,0.00,9.3,60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1016.06,09-26-2019,10:00:00,24.1,30.08,32.0,9.00,1006.82,010,0.00,0.00,7.4,63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1015.64,09-26-2019,10:00:00,24.3,30.31,30.0,8.00,1014.38,340,2.30,0.00,18.5,71
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1015.13,09-26-2019,10:00:00,23.6,29.15,31.4,11.00,1014.70,350,0.00,0.00,5.6,63
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1015.34,09-26-2019,10:00:00,23.1,28.31,30.4,8.00,1003.12,350,0.00,0.00,11.1,65
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1015.09,09-26-2019,10:00:00,24.3,30.36,32.0,8.00,1014.39,060,0.00,0.00,7.4,64
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1014.59,09-26-2019,10:00:00,23.6,29.17,33.1,5.00,1012.18,040,0.00,0.00,7.4,58
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1014.22,09-26-2019,10:00:00,24.4,30.48,32.2,10.00,1013.71,080,0.00,0.00,3.7,63
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1014.28,09-26-2019,10:00:00,23.1,28.18,31.9,11.00,1009.17,010,0.00,0.00,9.3,60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1014.59,09-26-2019,10:00:00,23.3,28.66,32.0,9.00,1014.18,050,0.00,0.00,9.3,60
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1014.13,09-26-2019,10:00:00,24.7,31.11,32.5,10.00,1011.39,000,0.00,0.00,0.0,64
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1015.02,09-26-2019,10:00:00,23.5,28.91,31.7,6.00,1014.24,060,0.00,0.00,7.4,62
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1014.31,09-26-2019,10:00:00,25.6,32.84,30.4,7.00,1013.85,190,0.00,0.00,3.7,76
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1014.33,09-26-2019,10:00:00,26.0,33.53,29.2,8.00,1013.65,060,5.90,0.00,7.4,83
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1014.35,09-26-2019,10:00:00,25.4,32.35,28.2,8.00,1012.82,040,1.40,0.20,3.7,85
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1014.54,09-26-2019,10:00:00,24.0,29.89,30.5,9.00,1013.62,100,1.00,0.00,9.3,68
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1014.78,09-26-2019,10:00:00,24.7,31.08,25.7,9.00,1014.09,000,8.50,8.50,0.0,94
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1014.79,09-26-2019,10:00:00,24.9,31.56,29.5,8.00,1013.99,030,13.50,0.00,3.7,77
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.55,09-26-2019,10:00:00,25.6,32.80,28.0,5.00,1006.92,000,24.10,8.00,0.0,87
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1014.35,09-26-2019,10:00:00,26.4,34.39,30.3,10.00,1013.94,000,20.00,0.00,0.0,80
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1016.80,09-26-2019,10:00:00,23.8,29.52,25.0,3.00,1012.52,000,23.00,15.50,0.0,93
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1013.89,09-26-2019,10:00:00,24.1,30.10,28.9,10.00,1012.28,000,0.00,0.00,0.0,76
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1013.86,09-26-2019,10:00:00,25.3,32.30,30.0,10.00,1010.39,000,0.00,0.00,0.0,76
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1014.71,09-26-2019,10:00:00,24.8,31.25,29.2,10.00,1013.35,210,0.01,0.01,1.9,77
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1013.50,09-26-2019,10:00:00,24.0,29.80,31.3,10.00,1012.62,060,0.00,0.00,11.1,65
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1014.39,09-26-2019,10:00:00,25.0,31.69,29.0,8.00,1010.83,120,2.80,0.00,7.4,79
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1013.98,09-26-2019,10:00:00,24.9,31.43,31.4,10.00,1013.55,000,0.80,0.00,0.0,68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1013.63,09-26-2019,10:00:00,24.4,30.61,31.0,9.00,1012.65,080,0.01,0.00,9.3,68
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1014.17,09-26-2019,10:00:00,25.5,32.54,29.7,9.00,1013.36,040,0.00,0.00,5.6,78
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1014.39,09-26-2019,10:00:00,24.3,30.34,26.6,9.00,1012.56,000,2.40,0.90,0.0,87
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1014.36,09-26-2019,10:00:00,24.3,30.35,29.6,10.00,1013.61,000,15.50,0.00,0.0,73
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1014.45,09-26-2019,10:00:00,23.8,29.50,30.3,10.00,1010.47,080,0.20,0.00,13.0,68
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1013.57,09-26-2019,10:00:00,23.8,29.50,30.3,10.00,1012.89,040,0.00,0.00,11.1,68
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1014.08,09-26-2019,10:00:00,24.1,29.96,31.1,10.00,1012.98,000,6.60,0.00,0.0,66
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1013.96,09-26-2019,10:00:00,24.3,30.28,31.4,10.00,1011.06,060,0.00,0.00,7.4,66
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1014.44,09-26-2019,10:00:00,25.6,32.81,31.5,9.00,1013.76,000,0.00,0.00,0.0,71
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1014.85,09-26-2019,10:00:00,25.1,31.79,28.2,8.00,1010.71,060,5.30,0.00,5.6,83
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1014.79,09-26-2019,10:00:00,23.5,28.92,25.1,7.00,1014.20,140,12.30,3.10,9.3,91
