WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,DewPoint,MaximumTemperature,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.01,09-02-2019,19:00:00,93,26.4,25.3,32.0,32.15,8.10,1005.58,10.00,000,974.75,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-02-2019,19:00:00,100,19.9,19.9,20.6,23.22,92.60,1003.93,1.00,120,843.70,24.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-02-2019,19:00:00,85,27.4,24.7,31.3,31.05,7.60,1004.14,10.00,000,960.90,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-02-2019,19:00:00,84,27.7,24.8,30.0,31.36,8.20,1004.50,15.00,000,959.40,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.70,09-02-2019,19:00:00,96,27.0,26.3,30.5,34.19,91.30,1005.06,6.00,000,967.66,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-02-2019,19:00:00,92,26.7,25.3,30.5,32.18,14.90,1004.94,9.00,000,960.11,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-02-2019,19:00:00,87,28.3,25.9,31.8,33.41,10.40,1003.88,10.00,000,977.43,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.00,09-02-2019,19:00:00,97,25.2,24.8,32.0,31.22,10.30,1005.82,10.00,000,984.01,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-02-2019,19:00:00,87,26.5,24.2,30.0,30.16,1.00,1006.11,8.00,000,982.05,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.00,09-02-2019,19:00:00,91,24.5,23.0,32.0,28.11,29.40,1006.43,4.00,000,971.77,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,40.90,09-02-2019,19:00:00,97,24.8,24.2,33.3,30.22,82.50,1006.03,10.00,000,978.39,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,16.00,09-02-2019,19:00:00,98,24.2,23.9,32.6,29.66,68.90,1006.06,10.00,020,972.32,5.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,14.90,09-02-2019,19:00:00,97,25.0,24.4,32.0,30.58,16.60,1005.45,3.00,240,986.88,14.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.30,09-02-2019,19:00:00,81,28.3,24.7,31.5,31.14,9.40,1004.01,10.00,000,981.40,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-02-2019,19:00:00,87,27.8,25.4,30.5,32.40,18.50,1004.08,10.00,000,974.43,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.80,09-02-2019,19:00:00,96,24.5,23.8,31.4,29.41,75.20,1005.99,6.00,000,970.33,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,9.60,09-02-2019,19:00:00,97,24.3,23.9,31.0,29.57,19.20,1004.14,12.00,000,974.32,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,09-02-2019,19:00:00,94,25.2,24.2,30.6,30.15,49.30,1005.43,6.00,000,998.10,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-02-2019,19:00:00,87,27.4,25.1,29.2,31.89,0.60,1003.59,13.00,230,983.80,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,17.10,09-02-2019,19:00:00,96,24.5,23.8,32.0,29.41,28.40,1004.50,5.00,300,975.72,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.01,09-02-2019,19:00:00,91,25.8,24.2,27.5,30.19,61.30,1003.95,15.00,230,983.78,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-02-2019,19:00:00,85,26.0,23.4,27.5,28.70,52.60,1003.94,12.00,000,982.23,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-02-2019,19:00:00,89,26.4,24.4,28.0,30.51,28.50,1002.73,10.00,280,983.30,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-02-2019,19:00:00,92,26.7,25.3,27.8,32.18,9.50,1002.98,12.00,000,986.30,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-02-2019,19:00:00,92,26.0,24.6,26.8,30.84,18.00,1003.34,12.00,000,985.95,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-02-2019,19:00:00,97,25.0,24.4,28.7,30.58,21.20,1003.59,10.00,000,977.75,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.80,09-02-2019,19:00:00,90,27.5,25.8,32.5,33.21,2.00,1005.23,8.00,000,999.47,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,2.40,09-02-2019,19:00:00,92,27.0,25.6,31.9,32.77,2.80,1005.29,8.00,000,999.11,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1.50,09-02-2019,19:00:00,96,25.5,24.8,29.2,31.25,12.10,1005.57,10.00,000,989.08,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.50,09-02-2019,19:00:00,96,25.0,24.3,30.5,30.32,16.00,1004.96,6.00,000,982.55,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-02-2019,19:00:00,74,27.8,22.6,32.3,27.49,1.70,1006.14,7.00,310,991.80,7.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.50,09-02-2019,19:00:00,96,25.0,24.3,31.0,30.32,0.50,1005.43,7.00,000,988.97,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-02-2019,19:00:00,87,28.0,25.6,32.0,32.80,9.50,1005.10,10.00,080,999.90,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,5.70,09-02-2019,19:00:00,92,26.4,25.0,28.4,31.60,8.10,1003.91,8.00,000,990.73,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.10,09-02-2019,19:00:00,71,28.7,22.8,33.0,27.81,5.90,1004.81,12.00,000,995.56,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.30,09-02-2019,19:00:00,98,24.7,24.4,28.1,30.56,195.80,1004.26,8.00,230,982.48,7.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1.50,09-02-2019,19:00:00,81,27.2,23.6,30.7,29.04,69.20,1004.26,7.00,000,986.82,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-02-2019,19:00:00,92,25.0,23.5,27.5,29.00,22.20,1002.78,10.00,270,986.91,9.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.10,09-02-2019,19:00:00,97,25.0,24.6,27.5,30.85,111.60,1003.34,8.00,170,984.40,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.30,09-02-2019,19:00:00,87,24.8,22.6,26.4,27.36,8.30,1005.86,8.00,000,954.55,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,17.00,09-02-2019,19:00:00,95,26.3,25.4,31.9,32.51,31.90,1005.05,2.00,110,1001.09,11.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.30,09-02-2019,19:00:00,98,21.1,20.8,24.4,24.53,6.90,1005.08,.10,200,910.05,20.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-02-2019,19:00:00,97,24.8,24.4,26.3,30.48,95.70,1004.34,8.00,000,988.28,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.50,09-02-2019,19:00:00,88,28.6,26.5,32.2,34.61,4.90,1005.44,8.00,000,1001.43,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.60,09-02-2019,19:00:00,92,27.9,26.5,31.3,34.60,7.50,1006.49,8.00,000,995.85,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-02-2019,19:00:00,71,29.8,23.9,33.1,29.63,2.90,1005.32,8.00,180,1003.41,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.10,09-02-2019,19:00:00,97,25.1,24.5,26.2,30.77,16.60,1005.03,6.00,240,984.08,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.20,09-02-2019,19:00:00,93,24.6,23.4,25.8,28.81,122.70,1003.92,10.00,230,986.18,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.01,09-02-2019,19:00:00,97,24.6,24.0,25.8,29.85,165.00,1003.63,10.00,270,987.40,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1.50,09-02-2019,19:00:00,96,24.6,23.9,25.3,29.59,110.10,1004.25,9.00,300,990.15,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.00,09-02-2019,19:00:00,97,24.5,24.1,25.0,29.93,113.20,1004.69,8.00,000,989.78,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.00,09-02-2019,19:00:00,98,25.0,24.7,26.0,31.12,35.90,1005.01,6.00,210,990.27,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-02-2019,19:00:00,73,30.0,24.7,33.1,31.15,1.70,1004.56,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1001.58,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,13.50,09-02-2019,19:00:00,94,25.3,24.3,29.8,30.34,19.90,1005.88,7.00,320,997.89,9.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-02-2019,19:00:00,70,29.2,23.1,33.2,28.21,0.00,1005.13,7.00,220,1004.04,9.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,15.30,09-02-2019,19:00:00,92,25.0,23.5,27.0,29.00,57.30,1005.43,8.00,000,990.67,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.00,09-02-2019,19:00:00,99,19.2,19.0,20.0,22.01,6.40,1007.29,.10,280,872.14,7.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.80,09-02-2019,19:00:00,92,27.5,26.1,30.0,33.78,4.40,1005.47,7.00,010,999.61,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-02-2019,19:00:00,71,29.5,23.7,33.5,29.33,0.00,1006.04,8.00,240,1005.25,14.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-02-2019,19:00:00,74,28.5,23.4,32.2,28.78,0.01,1006.22,10.00,210,1005.78,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,5.70,09-02-2019,19:00:00,94,25.0,24.0,30.0,29.79,20.00,1007.14,3.00,000,995.76,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-02-2019,19:00:00,71,29.5,23.7,33.9,29.33,0.00,1006.04,10.00,230,1005.03,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-02-2019,19:00:00,68,29.4,23.0,32.5,28.04,1.80,1005.31,8.00,000,1003.51,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-02-2019,19:00:00,68,29.0,22.4,32.7,27.03,0.00,1006.03,7.00,230,1005.27,3.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-02-2019,19:00:00,68,28.7,22.2,31.6,26.75,0.20,1006.41,10.00,250,1005.71,16.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.20,09-02-2019,19:00:00,79,28.5,24.5,32.3,30.70,1.20,1005.69,7.00,000,1004.99,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,2.50,09-02-2019,19:00:00,96,25.3,24.6,26.8,30.87,11.20,1005.83,6.00,000,984.59,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,2.90,09-02-2019,19:00:00,98,24.3,24.0,26.5,29.84,30.40,1005.44,6.00,000,988.61,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.50,09-02-2019,19:00:00,96,24.7,24.0,26.5,29.77,28.90,1005.81,3.00,230,989.28,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,4.40,09-02-2019,19:00:00,94,25.3,24.3,26.7,30.34,12.90,1005.86,4.00,000,983.91,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-02-2019,19:00:00,82,25.5,22.2,27.2,26.78,4.80,1005.87,8.00,160,962.47,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.20,09-02-2019,19:00:00,96,24.5,23.8,26.5,29.41,15.80,1005.88,3.00,210,985.17,9.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,2.40,09-02-2019,19:00:00,100,23.7,23.7,26.3,29.29,24.60,1006.60,6.00,250,985.57,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-02-2019,19:00:00,80,28.6,24.7,31.0,31.18,0.01,1006.50,10.00,230,1006.07,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,3.70,09-02-2019,19:00:00,96,25.8,25.1,29.7,31.82,5.20,1005.31,6.00,000,1003.89,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.20,09-02-2019,19:00:00,97,25.9,25.3,28.3,32.29,8.30,1005.98,7.00,000,1001.04,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.20,09-02-2019,19:00:00,79,28.0,23.9,30.2,29.74,0.20,1006.40,9.00,240,1003.12,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-02-2019,19:00:00,77,28.2,23.9,31.5,29.57,0.01,1006.30,10.00,290,1005.20,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-02-2019,19:00:00,70,29.4,23.3,33.2,28.59,0.01,1006.68,10.00,180,1006.39,5.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-02-2019,19:00:00,71,29.5,23.7,32.3,29.33,0.00,1006.37,10.00,180,1005.69,11.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-02-2019,19:00:00,76,29.0,24.4,33.6,30.57,0.01,1006.74,10.00,000,1006.25,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-02-2019,19:00:00,70,29.3,23.3,31.2,28.67,0.00,1006.90,10.00,240,1005.50,16.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-02-2019,19:00:00,83,27.3,24.1,31.0,30.04,0.00,1006.55,10.00,200,1004.87,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-02-2019,19:00:00,79,27.8,23.7,30.0,29.36,8.30,1007.94,10.00,270,999.95,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-02-2019,19:00:00,75,28.5,23.7,33.0,29.33,0.00,1006.41,10.00,240,1006.13,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-02-2019,19:00:00,74,28.5,23.4,31.5,28.78,0.00,1006.52,10.00,230,1003.40,7.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-02-2019,19:00:00,77,27.5,23.1,30.5,28.26,0.80,1007.32,10.00,240,1000.39,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,13.10,09-02-2019,19:00:00,97,25.5,25.1,27.8,31.79,19.20,1006.48,7.00,000,1000.86,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-02-2019,19:00:00,77,28.0,23.6,32.0,29.19,0.01,1007.82,10.00,240,998.54,18.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-02-2019,19:00:00,79,27.4,23.5,30.0,28.88,0.10,1007.26,10.00,270,1006.00,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.01,09-02-2019,19:00:00,77,27.5,23.1,31.1,28.26,0.01,1006.66,11.00,220,1006.23,3.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.10,09-02-2019,19:00:00,91,25.5,23.9,30.1,29.64,0.30,1007.33,10.00,000,995.01,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.01,09-02-2019,19:00:00,83,27.0,24.0,31.5,29.75,0.01,1007.02,9.00,210,1006.31,3.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,09-02-2019,19:00:00,74,28.5,23.4,31.8,28.78,2.20,1007.34,10.00,200,1004.91,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,09-02-2019,19:00:00,79,28.0,24.1,31.0,30.01,0.10,1007.55,9.00,230,1007.03,18.5
