WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,WindDirection,VaporPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,LandVisibility,StationPressure
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-05-2019,22:00:00,27.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",29.75,83,0.00,1011.93,0.0,0.00,24.0,10.00,1011.49
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-05-2019,22:00:00,25.7,000,29.74,90,0.10,1011.77,0.0,0.00,23.9,6.00,1010.34
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-05-2019,22:00:00,25.4,000,31.60,97,6.20,1011.51,0.0,0.00,25.0,8.00,1006.53
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-05-2019,22:00:00,25.3,310,27.46,85,0.00,1012.36,3.7,0.00,22.6,10.00,1009.03
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-05-2019,22:00:00,25.6,000,30.63,93,0.00,1012.35,0.0,0.00,24.4,10.00,1011.23
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-05-2019,22:00:00,26.2,320,29.86,88,55.80,1011.86,3.7,0.00,24.0,9.00,1011.56
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-05-2019,22:00:00,25.5,000,30.71,94,12.50,1012.18,0.0,0.00,24.5,10.00,1011.69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-05-2019,22:00:00,25.9,350,30.38,91,3.00,1012.27,5.6,0.00,24.3,10.00,1010.85
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-05-2019,22:00:00,24.5,000,29.41,96,1.20,1013.57,0.0,0.00,23.8,10.00,1005.45
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-05-2019,22:00:00,25.5,000,31.25,96,9.70,1011.83,0.0,0.01,24.8,4.00,1011.55
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-05-2019,22:00:00,25.3,000,28.75,89,10.80,1011.34,0.0,0.00,23.4,10.00,1008.18
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-05-2019,22:00:00,27.0,000,31.11,87,0.50,1011.41,0.0,0.00,24.7,10.00,1004.44
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-05-2019,22:00:00,26.5,000,31.79,92,0.40,1011.80,0.0,0.00,25.1,8.00,1006.16
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-05-2019,22:00:00,25.6,010,30.90,94,0.01,1012.59,3.7,0.01,24.6,6.00,1011.32
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-05-2019,22:00:00,26.7,000,31.35,90,1.40,1012.01,0.0,1.30,24.8,8.00,1011.57
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-05-2019,22:00:00,24.5,270,27.10,88,0.00,1012.19,3.7,0.00,22.4,10.00,999.77
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-05-2019,22:00:00,27.0,280,29.48,83,0.00,1011.40,13.0,0.00,23.8,10.00,1010.68
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-05-2019,22:00:00,26.0,360,28.70,85,0.30,1011.41,3.7,0.01,23.4,9.00,1008.95
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-05-2019,22:00:00,26.2,050,30.13,89,0.00,1011.52,7.4,0.00,24.2,10.00,1011.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-05-2019,22:00:00,25.0,000,30.05,95,63.10,1011.56,0.0,0.70,24.1,6.00,1006.35
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-05-2019,22:00:00,25.3,000,29.01,90,3.70,1011.66,0.0,0.00,23.5,7.00,1011.24
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-05-2019,22:00:00,26.0,000,32.20,96,3.00,1012.00,0.0,0.00,25.3,8.00,1009.21
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-05-2019,22:00:00,27.2,000,30.67,85,0.00,1012.58,0.0,0.00,24.5,10.00,1011.79
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-05-2019,22:00:00,26.4,060,28.11,82,0.00,1011.14,7.4,0.00,23.0,7.00,1010.68
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-05-2019,22:00:00,25.5,000,29.38,90,0.00,1012.08,0.0,0.00,23.7,9.00,1011.39
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-05-2019,22:00:00,25.2,000,28.83,90,0.00,1011.64,0.0,0.00,23.4,7.00,1010.10
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-05-2019,22:00:00,25.0,050,29.00,92,1.20,1012.24,1.9,0.60,23.5,10.00,1011.32
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-05-2019,22:00:00,27.7,000,31.36,84,0.00,1011.72,0.0,0.00,24.8,10.00,1011.03
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-05-2019,22:00:00,25.0,000,29.52,93,3.80,1012.32,0.0,0.20,23.8,8.00,1011.52
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-05-2019,22:00:00,24.6,000,30.38,98,10.90,1011.57,0.0,0.00,24.3,9.00,1010.93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-05-2019,22:00:00,24.9,000,30.13,96,2.70,1011.71,0.0,0.00,24.2,10.00,1011.30
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-05-2019,22:00:00,24.5,000,29.67,97,56.60,1013.71,0.0,0.00,23.9,6.00,1009.44
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-05-2019,22:00:00,23.9,000,29.12,98,13.00,1012.49,0.0,0.20,23.6,7.00,1010.85
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-05-2019,22:00:00,25.0,000,29.00,92,0.90,1012.11,0.0,0.00,23.5,10.00,1008.60
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-05-2019,22:00:00,25.3,000,31.41,97,0.90,1011.43,0.0,0.00,24.9,8.00,1010.07
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-05-2019,22:00:00,25.0,000,30.85,97,1.60,1011.13,0.0,1.50,24.6,10.00,1010.24
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-05-2019,22:00:00,25.0,000,30.32,96,1.90,1012.08,0.0,1.50,24.3,8.00,1008.49
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-05-2019,22:00:00,27.6,000,29.79,81,2.80,1011.60,0.0,0.00,24.0,10.00,1011.16
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-05-2019,22:00:00,26.3,000,30.59,89,4.50,1011.04,0.0,0.00,24.4,8.00,1010.04
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-05-2019,22:00:00,26.4,000,29.17,85,59.00,1011.08,0.0,0.00,23.6,110.00,1010.26
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-05-2019,22:00:00,25.5,000,30.98,95,8.70,1011.85,0.0,0.00,24.6,8.00,1010.02
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-05-2019,22:00:00,26.3,160,29.25,86,0.00,1011.46,3.7,0.00,23.7,10.00,1010.71
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-05-2019,22:00:00,24.7,230,29.25,94,1.20,1011.86,5.6,0.00,23.7,10.00,1007.81
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-05-2019,22:00:00,25.3,000,29.28,91,27.80,1011.56,0.0,0.00,23.7,10.00,1010.87
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-05-2019,22:00:00,24.0,000,28.78,97,16.00,1011.76,0.0,0.00,23.4,10.00,1010.63
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-05-2019,22:00:00,25.5,000,29.91,92,0.00,1011.92,0.0,0.00,24.0,10.00,1008.97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-05-2019,22:00:00,25.4,000,29.99,92,3.60,1011.51,0.0,0.00,24.1,8.00,1010.81
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-05-2019,22:00:00,24.6,220,28.03,91,0.00,1012.20,5.6,0.00,23.0,8.00,1008.02
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-05-2019,22:00:00,26.5,000,27.77,80,0.00,1011.39,0.0,0.00,22.8,10.00,1010.80
