WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,WindDirection,VaporPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-05-2019,22:00:00,24.7,000,28.47,92,6.70,1012.51,0.0,0.70,23.2,6.00,981.29
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-05-2019,22:00:00,18.6,180,19.71,92,0.00,1012.98,5.6,0.00,17.3,8.00,850.66
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-05-2019,22:00:00,25.4,000,26.61,82,0.00,1011.92,0.0,0.00,22.1,10.00,968.06
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-05-2019,22:00:00,24.2,000,26.59,88,0.00,1012.09,0.0,0.00,22.1,15.00,966.13
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-05-2019,22:00:00,25.2,000,28.83,90,0.00,1012.07,0.0,0.00,23.4,6.00,974.18
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-05-2019,22:00:00,25.5,000,28.59,88,0.00,1012.64,0.0,0.00,23.3,8.00,967.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-05-2019,22:00:00,26.2,000,29.86,88,0.00,1012.81,0.0,0.00,24.0,7.00,985.94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-05-2019,22:00:00,25.4,080,28.93,89,18.80,1012.12,5.6,0.00,23.5,11.00,990.19
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-05-2019,22:00:00,24.5,000,28.11,91,0.00,1012.52,0.0,0.00,23.0,8.00,988.14
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-05-2019,22:00:00,26.0,000,26.88,80,0.00,1012.50,0.0,0.00,22.3,10.00,977.80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-05-2019,22:00:00,26.0,000,30.84,92,0.00,1012.36,0.0,0.00,24.6,10.00,984.66
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-05-2019,22:00:00,25.5,000,27.29,84,0.10,1011.97,0.0,0.00,22.5,10.00,978.18
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-05-2019,22:00:00,25.7,000,29.48,89,0.00,1011.90,0.0,0.00,23.8,5.00,993.25
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-05-2019,22:00:00,26.3,000,30.86,90,0.01,1012.15,0.0,0.00,24.6,10.00,989.21
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-05-2019,22:00:00,24.0,000,27.25,91,0.00,1012.54,0.0,0.00,22.5,9.00,982.26
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-05-2019,22:00:00,24.0,000,27.25,91,0.60,1012.79,0.0,0.00,22.5,6.00,976.83
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-05-2019,22:00:00,22.6,000,25.93,95,0.00,1011.87,0.0,0.00,21.7,8.00,981.64
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-05-2019,22:00:00,26.7,000,29.72,85,0.00,1011.93,0.0,0.00,23.9,8.00,1004.58
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-05-2019,22:00:00,28.4,000,29.96,77,0.00,1011.73,0.0,0.00,24.1,5.00,991.84
48353,LOEI,เลย,เลย,17.45000,101.73333,10-05-2019,22:00:00,24.3,140,26.01,86,0.00,1011.71,3.7,0.00,21.7,8.00,982.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-05-2019,22:00:00,26.8,250,30.45,86,0.00,1011.72,3.7,0.00,24.3,12.00,991.46
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-05-2019,22:00:00,25.0,000,28.22,89,0.00,1011.92,0.0,0.00,23.1,10.00,989.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-05-2019,22:00:00,27.4,020,27.03,74,0.00,1011.36,3.7,0.00,22.4,10.00,991.83
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-05-2019,22:00:00,25.7,000,28.69,87,1.40,1012.14,0.0,0.00,23.3,12.00,995.24
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-05-2019,22:00:00,25.2,000,29.36,92,4.50,1012.39,0.0,0.00,23.7,10.00,994.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-05-2019,22:00:00,25.5,000,31.25,96,0.00,1011.25,0.0,0.00,24.8,7.00,985.25
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-05-2019,22:00:00,26.6,000,31.71,91,0.60,1011.73,0.0,0.00,25.0,10.00,1005.91
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-05-2019,22:00:00,26.0,000,29.50,88,0.20,1012.38,0.0,0.00,23.8,6.00,1006.13
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-05-2019,22:00:00,25.1,000,27.37,86,0.00,1013.00,0.0,0.00,22.6,8.00,996.37
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-05-2019,22:00:00,24.0,000,27.25,91,3.50,1011.03,0.0,3.50,22.5,10.00,988.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-05-2019,22:00:00,26.3,000,30.59,89,41.40,1012.79,0.0,0.00,24.4,6.00,998.29
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-05-2019,22:00:00,25.5,000,29.11,89,20.20,1012.21,0.0,0.00,23.6,8.00,995.67
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-05-2019,22:00:00,26.8,000,31.27,89,2.30,1012.31,0.0,0.00,24.8,6.00,1007.05
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-05-2019,22:00:00,25.7,000,29.48,89,0.40,1010.91,0.0,0.00,23.8,10.00,997.61
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-05-2019,22:00:00,24.7,000,29.77,96,50.50,1012.63,0.0,5.50,24.0,10.00,1003.18
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-05-2019,22:00:00,26.0,300,30.03,89,0.00,1011.91,5.6,0.00,24.1,7.00,990.05
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-05-2019,22:00:00,27.8,110,29.36,79,0.00,1011.97,5.6,0.00,23.7,7.00,994.43
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-05-2019,22:00:00,23.5,000,26.66,92,11.00,1011.31,0.0,11.00,22.1,8.00,995.22
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-05-2019,22:00:00,25.5,000,30.17,93,0.00,1010.95,0.0,0.00,24.2,8.00,991.90
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-05-2019,22:00:00,23.2,000,25.92,91,0.00,1014.23,0.0,0.00,21.7,7.00,962.23
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-05-2019,22:00:00,25.1,240,29.70,93,0.30,1012.04,5.6,0.01,23.9,3.00,1008.04
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-05-2019,22:00:00,20.4,000,22.81,95,17.00,1013.33,0.0,0.00,19.6,4.00,917.31
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-05-2019,22:00:00,27.0,000,31.66,89,0.00,1011.22,0.0,0.00,25.0,7.00,995.17
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-05-2019,22:00:00,25.3,000,31.41,97,1.50,1011.99,0.0,0.50,24.9,5.00,1007.92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-05-2019,22:00:00,24.0,000,28.78,97,41.30,1013.13,0.0,0.00,23.4,5.00,1002.29
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-05-2019,22:00:00,25.5,000,28.85,88,1.60,1012.77,0.0,0.01,23.4,8.00,1010.82
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-05-2019,22:00:00,25.6,000,29.29,89,0.30,1012.44,0.0,0.00,23.7,10.00,991.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-05-2019,22:00:00,26.5,000,31.79,92,0.00,1011.43,0.0,0.00,25.1,10.00,993.66
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-05-2019,22:00:00,28.2,000,32.07,84,0.30,1010.95,0.0,0.00,25.2,10.00,994.79
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-05-2019,22:00:00,27.3,000,29.50,81,3.30,1011.27,0.0,0.00,23.8,10.00,997.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-05-2019,22:00:00,25.8,000,31.00,93,0.00,1011.96,0.0,0.00,24.6,8.00,997.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-05-2019,22:00:00,26.5,000,33.19,96,0.01,1011.47,0.0,0.00,25.8,8.00,996.71
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-05-2019,22:00:00,25.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.73,93,0.80,1011.90,0.0,0.70,24.5,6.00,1008.86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-05-2019,22:00:00,25.0,000,29.00,92,11.00,1012.23,0.0,0.20,23.5,7.00,1004.18
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-05-2019,22:00:00,25.4,000,29.99,92,3.30,1012.00,0.0,0.00,24.1,6.00,1010.88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-05-2019,22:00:00,26.0,000,26.88,80,0.00,1012.28,0.0,0.00,22.3,8.00,997.47
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-05-2019,22:00:00,18.7,000,21.11,98,27.20,1014.04,0.0,0.00,18.4,4.00,877.77
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-05-2019,22:00:00,25.0,000,30.05,95,1.80,1012.45,0.0,0.00,24.1,10.00,1006.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-05-2019,22:00:00,25.5,320,31.25,96,10.00,1012.13,5.6,0.00,24.8,8.00,1011.32
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-05-2019,22:00:00,26.0,140,31.65,94,38.90,1011.59,3.7,0.30,25.0,10.00,1011.14
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-05-2019,22:00:00,24.3,000,29.05,96,4.30,1012.98,0.0,3.30,23.6,4.00,1001.51
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-05-2019,22:00:00,25.6,000,29.29,89,7.10,1012.45,0.0,0.00,23.7,6.00,1011.43
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-05-2019,22:00:00,24.9,000,29.34,93,29.80,1012.39,0.0,0.00,23.7,7.00,1010.54
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-05-2019,22:00:00,25.6,000,28.25,86,0.00,1011.97,0.0,0.00,23.1,6.00,1011.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-05-2019,22:00:00,25.6,050,29.82,91,11.80,1011.92,5.6,0.00,24.0,9.00,1011.21
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-05-2019,22:00:00,26.7,090,30.26,86,0.20,1011.56,5.6,0.00,24.2,7.00,1010.85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-05-2019,22:00:00,24.1,000,28.70,96,28.00,1012.33,0.0,0.00,23.4,6.00,990.86
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-05-2019,22:00:00,27.2,000,30.39,84,1.40,1011.55,0.0,0.00,24.3,7.00,994.78
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-05-2019,22:00:00,25.5,000,29.64,91,1.20,1011.96,0.0,0.00,23.9,7.00,995.37
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-05-2019,22:00:00,24.5,000,28.37,92,0.00,1012.26,0.0,0.00,23.2,6.00,990.11
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-05-2019,22:00:00,23.0,000,26.83,96,2.00,1012.88,0.0,0.00,22.2,8.00,968.83
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-05-2019,22:00:00,25.0,000,29.79,94,0.00,1011.99,0.0,0.00,24.0,8.00,991.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-05-2019,22:00:00,24.1,340,29.74,99,3.90,1013.29,3.7,0.00,23.9,8.00,992.14
