WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,DewPoint,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,WindDirection,WindSpeed,RelativeHumidity,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-13-2019,22:00:00,0.00,25.2,978.05,1008.94,1.50,26.8,000,0.0,91,10.00,32.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-13-2019,22:00:00,0.00,18.6,847.17,1008.06,8.80,19.9,270,7.4,92,8.00,21.44
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-13-2019,22:00:00,0.00,23.7,964.04,1007.35,0.00,27.9,000,0.0,78,15.00,29.28
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-13-2019,22:00:00,0.00,24.1,960.21,1005.45,0.00,27.0,000,0.0,84,15.00,30.02
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-13-2019,22:00:00,0.00,25.5,970.57,1008.15,0.00,26.5,000,0.0,94,6.00,32.63
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-13-2019,22:00:00,0.00,21.7,962.56,1007.69,0.00,25.5,000,0.0,80,10.00,26.02
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-13-2019,22:00:00,0.00,25.3,981.84,1008.52,0.00,27.0,000,0.0,90,8.00,32.21
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-13-2019,22:00:00,0.20,24.1,986.94,1008.86,3.90,24.7,090,3.7,97,15.00,30.03
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-13-2019,22:00:00,0.00,25.0,985.63,1009.80,1.00,26.2,000,0.0,93,8.00,31.76
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-13-2019,22:00:00,0.00,24.4,973.82,1008.35,29.70,26.3,000,0.0,89,10.00,30.59
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-13-2019,22:00:00,0.00,24.4,981.11,1008.61,10.30,27.0,000,0.0,86,10.00,30.56
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-13-2019,22:00:00,0.00,25.0,974.69,1008.19,0.80,27.0,000,0.0,89,10.00,31.66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-13-2019,22:00:00,0.00,24.7,989.83,1008.35,1.80,26.6,300,1.9,90,10.00,31.16
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-13-2019,22:00:00,0.00,26.0,985.42,1008.19,0.00,27.4,000,0.0,92,10.00,33.58
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-13-2019,22:00:00,0.00,23.9,977.95,1007.75,0.00,27.4,000,0.0,81,10.00,29.69
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-13-2019,22:00:00,0.00,24.5,973.25,1008.81,0.80,26.2,000,0.0,90,8.00,30.67
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-13-2019,22:00:00,0.00,23.9,978.30,1008.25,4.30,24.2,000,0.0,98,12.00,29.66
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-13-2019,22:00:00,0.00,25.6,1000.74,1008.06,16.70,27.0,000,0.0,92,10.00,32.77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-13-2019,22:00:00,0.00,25.3,986.68,1006.39,10.10,29.4,100,3.7,79,10.00,32.22
48353,LOEI,เลย,เลย,17.45000,101.73333,09-13-2019,22:00:00,0.00,23.7,979.58,1008.36,3.60,25.6,000,0.0,89,12.00,29.29
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-13-2019,22:00:00,0.00,25.6,988.20,1008.27,3.40,28.6,140,7.4,84,12.00,32.88
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-13-2019,22:00:00,0.00,24.8,986.56,1008.29,0.00,27.0,000,0.0,88,12.00,31.38
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-13-2019,22:00:00,0.00,24.4,988.59,1008.02,0.00,28.0,140,3.7,81,12.00,30.56
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-13-2019,22:00:00,0.00,23.8,992.01,1008.73,0.00,27.9,120,1.9,79,10.00,29.55
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-13-2019,22:00:00,0.00,24.9,991.62,1009.07,0.00,26.8,000,0.0,90,10.00,31.55
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-13-2019,22:00:00,0.00,24.8,981.61,1007.38,0.60,27.0,000,0.0,88,10.00,31.38
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-13-2019,22:00:00,0.00,26.5,1001.96,1007.73,0.00,28.0,300,3.7,91,10.00,34.52
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-13-2019,22:00:00,0.00,25.0,1001.98,1008.17,1.40,27.3,000,0.0,87,10.00,31.69
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-13-2019,22:00:00,1.40,24.6,992.95,1009.48,1.50,26.0,000,0.0,92,10.00,30.84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-13-2019,22:00:00,0.00,22.7,986.32,1008.78,0.20,25.5,220,5.6,84,10.00,27.55
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-13-2019,22:00:00,0.00,22.8,994.81,1009.16,0.00,28.2,260,16.7,72,10.00,27.69
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-13-2019,22:00:00,0.00,22.5,992.04,1008.33,0.50,29.0,000,0.0,68,8.00,27.30
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-13-2019,22:00:00,0.00,25.0,1003.35,1008.57,0.00,28.3,000,0.0,82,10.00,31.70
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-13-2019,22:00:00,0.00,25.7,993.81,1006.95,0.00,28.1,000,0.0,87,10.00,33.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-13-2019,22:00:00,0.00,23.8,998.87,1008.16,0.00,28.4,320,1.9,76,12.00,29.41
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-13-2019,22:00:00,0.00,25.1,983.76,1005.48,8.40,26.0,000,0.0,95,10.00,31.93
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-13-2019,22:00:00,0.00,24.1,990.02,1007.53,3.70,27.0,230,14.8,84,10.00,30.02
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-13-2019,22:00:00,0.00,24.4,991.95,1007.74,35.80,28.0,000,0.0,81,10.00,30.56
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-13-2019,22:00:00,0.00,24.6,988.47,1007.42,1.20,26.0,000,0.0,92,10.00,30.84
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-13-2019,22:00:00,0.00,22.6,959.49,1011.17,0.00,24.2,000,0.0,91,7.00,27.34
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-13-2019,22:00:00,0.00,26.7,1004.01,1007.94,0.00,29.5,310,7.4,85,8.00,35.05
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-13-2019,22:00:00,0.00,20.8,915.20,1010.67,1.00,21.4,240,5.6,96,.90,24.52
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-13-2019,22:00:00,0.00,26.0,992.17,1008.20,20.10,26.6,000,0.0,97,8.00,33.67
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-13-2019,22:00:00,0.00,24.4,1004.13,1008.15,0.20,29.0,000,0.0,76,9.00,30.57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-13-2019,22:00:00,0.00,24.3,998.10,1008.75,0.00,28.2,000,0.0,80,7.00,30.40
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-13-2019,22:00:00,5.50,24.4,1006.55,1008.49,5.50,26.4,170,3.7,89,8.00,30.51
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-13-2019,22:00:00,0.20,23.8,987.07,1008.06,20.60,25.4,000,0.0,91,7.00,29.46
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-13-2019,22:00:00,0.00,25.9,989.94,1007.57,8.90,27.7,220,3.7,90,10.00,33.33
