WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall,MinimumTemperature,DewPoint,MeanSeaLevelPressure,LandVisibility,WindSpeed,Rainfall24Hr,WindDirection,VaporPressure,RelativeHumidity
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.0,07-21-2019,07:00:00,976.90,0.00,23.3,23.8,1006.84,6.00,0.0,9.00,000,29.56,99
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.7,07-21-2019,07:00:00,999.35,0.00,28.7,25.1,1006.61,9.00,0.0,0.00,000,31.94,81
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.7,07-21-2019,07:00:00,986.92,0.00,26.4,25.4,1006.82,13.00,0.0,0.80,000,32.46,93
48353,LOEI,เลย,เลย,17.45000,101.73333,24.5,07-21-2019,07:00:00,978.23,0.00,24.0,23.6,1007.08,6.00,0.0,6.70,000,29.15,95
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.0,07-21-2019,07:00:00,986.66,0.00,26.2,25.3,1006.81,12.00,0.0,1.20,000,32.21,90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.1,07-21-2019,07:00:00,985.46,0.00,25.7,24.4,1007.24,12.00,0.0,0.00,000,30.48,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.8,07-21-2019,07:00:00,987.45,0.00,26.0,24.2,1006.93,15.00,3.7,0.00,210,30.18,86
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.0,07-21-2019,07:00:00,991.07,0.00,26.9,24.6,1007.76,10.00,5.6,0.00,100,30.84,82
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.5,07-21-2019,07:00:00,990.59,0.00,25.0,24.6,1007.98,10.00,0.0,0.00,000,30.97,84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.8,07-21-2019,07:00:00,980.12,0.00,26.2,24.5,1005.87,12.00,0.0,0.00,000,30.72,87
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.3,07-21-2019,07:00:00,1000.46,0.00,25.4,25.6,1006.24,10.00,5.6,0.00,180,32.81,90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.2,07-21-2019,07:00:00,1000.63,0.00,26.9,25.1,1006.81,12.00,11.1,0.00,120,31.77,88
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.8,07-21-2019,07:00:00,991.39,0.00,27.0,24.0,1007.79,10.00,0.0,0.00,000,29.90,80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.8,07-21-2019,07:00:00,983.67,0.00,25.2,24.3,1006.05,10.00,0.0,0.00,000,30.46,92
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.8,07-21-2019,07:00:00,992.68,0.00,27.6,23.3,1006.98,8.00,5.6,0.00,260,28.54,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.6,07-21-2019,07:00:00,990.12,0.00,27.7,21.8,1006.40,8.00,0.0,0.00,000,26.04,67
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.0,07-21-2019,07:00:00,1001.84,0.00,27.0,25.1,1007.05,10.00,3.7,0.00,160,31.95,85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.0,07-21-2019,07:00:00,992.81,0.00,27.5,24.7,1005.95,10.00,0.0,0.00,000,31.11,82
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.9,07-21-2019,07:00:00,997.34,0.00,26.3,24.9,1006.66,11.00,3.7,0.00,120,31.46,89
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.4,07-21-2019,07:00:00,985.26,0.00,25.2,25.4,1006.99,9.00,3.7,12.20,170,32.43,94
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,07-21-2019,07:00:00,988.64,0.00,25.6,23.3,1006.13,10.00,9.3,16.10,200,28.67,80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.4,07-21-2019,07:00:00,991.24,0.00,26.1,24.1,1007.05,10.00,3.7,0.00,230,29.96,82
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.9,07-21-2019,07:00:00,987.44,0.00,25.7,25.6,1006.31,10.00,3.7,6.30,180,32.86,93
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.4,07-21-2019,07:00:00,957.68,0.00,23.5,23.2,1009.23,7.00,0.0,10.80,000,28.45,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,28.0,07-21-2019,07:00:00,1002.97,0.00,26.7,25.7,1006.92,8.00,11.1,0.00,120,33.08,88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.9,07-21-2019,07:00:00,912.75,0.00,21.2,21.1,1007.79,.90,5.6,0.00,260,25.06,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.8,07-21-2019,07:00:00,991.51,0.00,25.5,25.2,1007.51,10.00,0.0,2.00,000,32.10,91
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.8,07-21-2019,07:00:00,1002.84,0.00,27.2,26.7,1006.86,10.00,3.7,0.00,170,34.98,94
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.0,07-21-2019,07:00:00,997.20,0.00,26.5,25.6,1007.88,9.00,0.0,0.00,000,32.77,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.0,07-21-2019,07:00:00,1005.34,0.00,26.0,25.0,1007.27,9.00,9.3,0.00,150,31.66,89
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.3,07-21-2019,07:00:00,986.49,0.00,25.1,23.8,1007.33,10.00,9.3,4.20,260,29.50,81
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.0,07-21-2019,07:00:00,989.57,0.00,26.0,24.1,1007.24,10.00,0.0,0.00,000,30.02,84
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.5,07-21-2019,07:00:00,990.82,0.00,26.0,25.4,1007.01,10.00,7.4,6.60,210,32.35,93
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.8,07-21-2019,07:00:00,994.27,0.00,26.2,24.6,1008.33,10.00,5.6,0.00,150,31.00,88
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,07-21-2019,07:00:00,993.94,0.00,25.2,24.6,1008.84,10.00,0.0,0.00,000,30.84,92
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.6,07-21-2019,07:00:00,994.44,0.00,26.1,24.6,1009.11,9.00,0.0,0.00,000,30.89,84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.7,07-21-2019,07:00:00,1003.76,0.00,26.5,25.4,1006.77,10.00,0.0,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",32.48,87
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.7,07-21-2019,07:00:00,999.31,0.00,26.8,25.6,1007.24,10.00,0.0,0.00,000,32.76,88
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.7,07-21-2019,07:00:00,1006.33,0.00,26.1,25.4,1007.44,8.00,5.6,0.00,130,32.48,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.0,07-21-2019,07:00:00,991.74,0.00,27.0,24.0,1006.42,9.00,5.6,0.00,090,29.75,83
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.3,07-21-2019,07:00:00,873.07,1.40,19.6,20.1,1007.83,.05,11.1,1.40,190,23.57,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.5,07-21-2019,07:00:00,1001.51,0.00,26.3,26.4,1007.38,10.00,0.0,0.00,000,34.36,94
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.2,07-21-2019,07:00:00,1007.12,0.00,27.4,28.1,1007.92,8.00,0.0,0.00,000,37.92,99
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.0,07-21-2019,07:00:00,1007.37,0.00,28.8,24.7,1007.81,10.00,13.0,0.00,210,31.13,78
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.4,07-21-2019,07:00:00,996.31,0.00,26.0,25.1,1007.64,7.00,0.0,0.00,000,31.88,93
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.9,07-21-2019,07:00:00,1006.79,0.00,27.2,25.6,1007.80,10.00,0.0,0.00,000,32.88,88
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.6,07-21-2019,07:00:00,1005.78,0.00,27.0,25.6,1007.60,9.00,3.7,0.00,200,32.84,89
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.6,07-21-2019,07:00:00,1006.74,0.00,25.7,24.3,1007.51,8.00,0.0,0.40,000,30.34,87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.6,07-21-2019,07:00:00,1006.96,0.00,27.9,24.6,1007.66,10.00,9.3,0.00,200,30.90,79
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.8,07-21-2019,07:00:00,1007.34,0.00,27.2,25.2,1008.04,7.00,3.7,0.00,150,32.12,86
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.5,07-21-2019,07:00:00,986.38,0.00,25.6,24.8,1007.51,10.00,0.0,0.01,000,31.25,85
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.2,07-21-2019,07:00:00,991.48,0.00,25.3,24.8,1008.20,7.00,5.6,0.00,240,31.22,87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.8,07-21-2019,07:00:00,992.15,0.00,25.3,24.6,1008.61,8.00,3.7,0.00,180,31.00,88
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.5,07-21-2019,07:00:00,985.95,0.00,26.1,24.0,1007.79,10.00,0.0,0.00,000,29.88,81
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.9,07-21-2019,07:00:00,964.49,0.00,24.6,22.0,1007.77,15.00,5.6,0.00,200,26.40,75
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.8,07-21-2019,07:00:00,987.12,0.00,25.7,23.9,1007.71,10.00,3.7,0.00,160,29.64,84
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.7,07-21-2019,07:00:00,988.29,0.00,25.6,25.7,1009.17,9.00,16.7,0.01,180,33.02,94
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.7,07-21-2019,07:00:00,1006.96,0.00,27.2,24.2,1007.39,10.00,7.4,0.00,190,30.26,77
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.1,07-21-2019,07:00:00,1006.07,0.00,25.8,25.2,1007.49,6.00,0.0,8.20,000,32.12,95
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.2,07-21-2019,07:00:00,1003.37,0.00,25.7,25.9,1008.32,8.00,0.0,23.90,000,33.43,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.0,07-21-2019,07:00:00,1004.30,0.00,26.0,24.3,1007.59,12.00,0.0,1.10,000,30.28,80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.2,07-21-2019,07:00:00,1006.68,0.00,26.6,25.5,1007.78,10.00,0.0,0.00,000,32.61,90
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.0,07-21-2019,07:00:00,1007.75,0.01,28.5,25.0,1008.05,8.00,0.0,0.01,000,31.69,79
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.5,07-21-2019,07:00:00,1007.52,0.00,27.8,24.2,1008.21,10.00,0.0,0.00,000,30.15,78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.5,07-21-2019,07:00:00,1005.98,0.00,27.0,24.3,1006.47,10.00,0.0,0.00,000,30.42,83
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.5,07-21-2019,07:00:00,1006.56,0.00,28.1,25.4,1007.96,10.00,9.3,2.00,170,32.39,83
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.5,07-21-2019,07:00:00,1006.09,0.00,29.0,25.2,1007.75,12.00,18.5,0.00,190,32.13,78
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.9,07-21-2019,07:00:00,1001.94,0.00,25.1,25.0,1009.99,10.00,0.0,13.90,000,31.74,95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.8,07-21-2019,07:00:00,1007.90,0.00,28.5,25.5,1008.18,10.00,0.0,0.00,000,32.71,83
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.0,07-21-2019,07:00:00,1005.36,0.00,28.3,25.2,1008.48,10.00,0.0,0.00,000,31.98,80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.5,07-21-2019,07:00:00,1001.55,0.00,28.0,24.2,1008.47,12.00,5.6,0.00,210,30.15,78
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.4,07-21-2019,07:00:00,1002.88,0.00,26.6,25.7,1008.48,7.00,3.7,0.60,280,33.01,90
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.5,07-21-2019,07:00:00,999.89,0.00,28.5,24.5,1009.17,8.00,20.4,0.00,230,30.70,79
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.1,07-21-2019,07:00:00,1007.04,0.01,25.9,24.5,1008.31,8.00,3.7,0.30,140,30.76,91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.5,07-21-2019,07:00:00,1006.96,0.00,27.3,24.2,1007.39,11.00,13.0,6.10,150,30.15,78
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.3,07-21-2019,07:00:00,995.72,0.00,25.5,22.9,1008.02,10.00,7.4,0.00,180,27.93,82
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.0,07-21-2019,07:00:00,1007.37,0.00,26.3,24.1,1008.08,10.00,5.6,0.00,150,30.02,84
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.2,07-21-2019,07:00:00,1006.23,0.00,27.8,24.8,1008.66,10.00,18.5,0.00,180,31.23,82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,07-21-2019,07:00:00,1007.78,0.00,29.0,25.5,1008.30,10.00,18.5,0.00,240,32.55,81
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.8,07-21-2019,07:00:00,1003.26,0.00,28.3,24.0,1008.39,13.00,1.9,0.00,180,29.90,76
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.0,07-21-2019,07:00:00,1009.35,56.50,24.8,24.6,1009.77,5.00,9.3,59.10,080,30.85,97
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.8,07-21-2019,07:00:00,1007.03,42.50,24.5,24.4,1009.83,8.00,13.0,56.80,200,30.48,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.0,07-21-2019,07:00:00,1007.42,0.00,24.9,23.8,1008.21,10.00,0.0,6.00,000,29.50,88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.0,07-21-2019,07:00:00,1009.26,9.10,23.5,23.7,1009.72,5.00,0.0,55.90,000,29.30,98
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.9,07-21-2019,07:00:00,1007.74,0.00,24.4,23.9,1008.43,7.00,0.0,14.10,000,29.61,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.5,07-21-2019,07:00:00,1006.81,0.00,24.2,23.5,1008.35,8.00,0.0,1.00,000,28.89,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.2,07-21-2019,07:00:00,1008.53,3.30,24.0,22.7,1009.46,6.00,7.4,19.80,200,27.60,91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.5,07-21-2019,07:00:00,1007.70,0.00,25.3,25.1,1008.39,10.00,0.0,2.60,000,31.79,92
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.6,07-21-2019,07:00:00,1007.94,0.00,24.2,24.4,1008.74,8.00,3.7,4.60,180,30.65,99
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,07-21-2019,07:00:00,1007.32,0.00,24.6,24.8,1007.95,10.00,0.0,0.00,000,31.25,96
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.8,07-21-2019,07:00:00,1007.96,0.00,24.2,24.1,1008.37,10.00,0.0,0.01,000,29.95,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.5,07-21-2019,07:00:00,1005.95,0.00,23.0,23.8,1010.20,5.00,0.0,0.00,000,29.41,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.1,07-21-2019,07:00:00,1007.02,0.00,23.7,23.8,1008.65,4.00,0.0,11.20,000,29.48,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.3,07-21-2019,07:00:00,1005.36,0.00,23.7,23.6,1008.87,7.00,0.0,35.70,000,29.05,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.0,07-21-2019,07:00:00,1006.97,0.00,24.0,23.7,1008.34,7.00,0.0,29.50,000,29.30,98
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.7,07-21-2019,07:00:00,1006.87,26.70,24.3,24.1,1007.76,10.00,0.0,70.90,000,30.03,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.5,07-21-2019,07:00:00,1005.02,0.00,22.5,23.3,1008.62,10.00,0.0,14.20,000,28.68,99
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.0,07-21-2019,07:00:00,1007.76,0.00,25.5,25.3,1008.19,10.00,0.0,8.00,000,32.20,96
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.4,07-21-2019,07:00:00,1006.72,0.00,23.0,24.8,1007.72,10.00,0.0,31.80,000,31.33,97
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.7,07-21-2019,07:00:00,1007.11,0.00,24.3,24.3,1007.94,10.00,0.0,16.20,000,30.30,97
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.8,07-21-2019,07:00:00,1006.89,0.00,23.5,23.5,1008.73,3.00,0.0,20.90,000,28.95,98
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.0,07-21-2019,07:00:00,1008.09,0.00,25.3,24.1,1008.85,9.00,0.0,3.70,000,30.03,89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.8,07-21-2019,07:00:00,1005.22,0.00,23.2,24.2,1009.25,7.00,0.0,0.00,000,30.22,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.7,07-21-2019,07:00:00,1009.23,0.00,23.9,23.7,1009.92,10.00,0.0,0.00,000,29.25,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,07-21-2019,07:00:00,1007.54,0.00,24.0,24.1,1008.67,8.00,0.0,6.60,000,29.93,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.6,07-21-2019,07:00:00,1006.19,0.00,23.0,24.2,1009.14,10.00,0.0,0.00,000,30.12,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.0,07-21-2019,07:00:00,1007.76,0.00,24.5,24.7,1008.46,5.00,0.0,30.50,000,31.12,98
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.9,07-21-2019,07:00:00,1005.25,0.00,24.1,24.3,1009.41,6.00,5.6,0.00,230,30.40,97
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.4,07-21-2019,07:00:00,1008.05,0.00,.0,22.3,1008.64,9.00,0.0,0.00,000,26.93,88
