WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall,MinimumTemperature,DewPoint,MeanSeaLevelPressure,LandVisibility,WindSpeed,Rainfall24Hr,WindDirection,VaporPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.1,07-21-2019,07:00:00,975.41,0.00,25.3,24.5,1006.19,8.00,0.0,0.00,000,30.75,86
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.3,07-21-2019,07:00:00,844.06,1.30,19.2,18.7,1004.71,7.00,3.7,1.30,150,21.49,96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.4,07-21-2019,07:00:00,962.64,3.30,23.8,23.1,1006.41,8.00,3.7,13.30,270,28.20,92
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.0,07-21-2019,07:00:00,961.08,0.40,22.5,23.3,1006.83,12.00,0.0,15.50,000,28.53,96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.0,07-21-2019,07:00:00,968.52,0.00,25.0,25.3,1006.08,10.00,0.0,0.00,000,32.20,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.0,07-21-2019,07:00:00,961.23,0.00,25.2,24.3,1006.21,10.00,0.0,11.60,000,30.30,90
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.8,07-21-2019,07:00:00,980.13,0.00,27.3,24.5,1006.69,9.00,0.0,0.00,000,30.72,82
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.7,07-21-2019,07:00:00,984.76,0.00,27.4,24.4,1006.40,15.00,0.0,0.01,000,30.53,82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.8,07-21-2019,07:00:00,983.27,0.00,25.0,23.4,1007.34,8.00,0.0,0.00,000,28.84,82
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.6,07-21-2019,07:00:00,972.73,0.00,26.4,24.0,1007.18,10.00,0.0,0.01,000,29.80,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.0,07-21-2019,07:00:00,980.29,0.00,28.2,23.9,1007.59,10.00,0.0,0.00,000,29.74,74
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.0,07-21-2019,07:00:00,972.83,0.00,25.8,25.3,1006.38,10.00,0.0,13.20,000,32.20,96
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.3,07-21-2019,07:00:00,987.69,0.00,28.3,24.3,1006.06,10.00,3.7,0.00,280,30.31,79
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.6,07-21-2019,07:00:00,983.64,0.00,27.0,24.4,1006.36,10.00,0.0,0.00,000,30.61,83
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.5,07-21-2019,07:00:00,976.18,0.00,25.3,24.0,1006.12,10.00,0.0,0.00,000,29.91,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.0,07-21-2019,07:00:00,970.87,0.00,27.0,24.1,1006.24,8.00,0.0,0.00,000,30.02,84
