WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,AirTemperature,WindSpeed,Rainfall24Hr,DewPoint,StationPressure,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.91,09-06-2019,10:00:00,72,000,1007.24,29.0,0.0,0.00,23.5,976.62,10.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.83,09-06-2019,10:00:00,91,270,1004.62,20.5,11.1,3.60,18.9,844.57,10.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.29,09-06-2019,10:00:00,70,140,1006.13,29.1,3.7,0.00,23.1,963.03,12.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.37,09-06-2019,10:00:00,71,000,1006.16,29.0,0.0,0.00,23.2,961.17,15.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.31,09-06-2019,10:00:00,82,000,1007.23,28.1,0.0,0.00,24.8,969.88,12.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.64,09-06-2019,10:00:00,68,200,1006.31,30.0,5.6,0.00,23.3,961.90,12.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.73,09-06-2019,10:00:00,78,130,1007.75,28.8,5.6,0.60,24.5,981.24,10.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.00,09-06-2019,10:00:00,69,300,1007.39,29.9,1.9,0.01,23.5,985.88,15.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.60,09-06-2019,10:00:00,81,000,1008.28,27.5,0.0,4.10,23.9,984.24,8.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.95,09-06-2019,10:00:00,64,190,1006.77,30.5,3.7,0.00,22.9,972.77,10.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.42,09-06-2019,10:00:00,65,000,1007.21,30.6,0.0,0.00,23.2,980.06,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.55,09-06-2019,10:00:00,65,210,1006.91,30.0,5.6,0.00,22.7,973.77,15.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.06,09-06-2019,10:00:00,70,200,1006.86,30.8,5.6,0.00,24.7,988.61,15.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.31,09-06-2019,10:00:00,79,000,1007.42,28.3,0.0,0.00,24.3,984.74,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.90,09-06-2019,10:00:00,78,000,1007.43,27.7,0.0,0.00,23.5,977.67,10.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.84,09-06-2019,10:00:00,76,000,1006.98,30.4,0.0,4.60,25.6,971.96,7.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.21,09-06-2019,10:00:00,78,100,1006.43,28.9,3.7,9.50,24.8,976.99,16.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.74,09-06-2019,10:00:00,81,000,1007.79,28.6,0.0,5.70,25.0,1000.52,9.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.72,09-06-2019,10:00:00,75,290,1006.24,30.0,3.7,5.20,25.0,986.57,13.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,30.72,09-06-2019,10:00:00,75,130,1006.76,29.5,5.6,24.60,24.5,978.39,15.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.70,09-06-2019,10:00:00,72,270,1006.48,30.2,11.1,0.30,24.5,986.54,15.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.89,09-06-2019,10:00:00,87,310,1006.75,27.4,3.7,2.70,25.1,985.07,12.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.14,09-06-2019,10:00:00,86,000,1006.32,27.3,0.0,2.90,24.7,986.88,15.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.44,09-06-2019,10:00:00,85,340,1006.85,27.6,3.7,14.30,24.9,990.15,11.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.07,09-06-2019,10:00:00,84,090,1006.90,28.2,3.7,5.70,25.2,989.57,12.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.13,09-06-2019,10:00:00,78,280,1005.60,29.5,5.6,0.00,25.2,980.09,15.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.33,09-06-2019,10:00:00,76,210,1007.06,31.1,3.7,0.00,26.4,1001.35,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,34.22,09-06-2019,10:00:00,78,260,1007.69,30.5,5.6,0.00,26.3,1001.57,12.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.57,09-06-2019,10:00:00,73,190,1008.43,29.2,5.6,0.00,23.9,992.09,10.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.21,09-06-2019,10:00:00,89,300,1007.87,25.7,3.7,9.00,23.7,985.45,8.00,0.01
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.52,09-06-2019,10:00:00,71,250,1008.59,28.4,13.0,0.00,22.7,994.25,8.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.08,09-06-2019,10:00:00,69,000,1008.19,29.8,0.0,0.00,23.6,991.94,8.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.10,09-06-2019,10:00:00,79,000,1007.88,29.2,0.0,0.60,25.2,1002.68,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.15,09-06-2019,10:00:00,78,000,1006.66,28.5,0.0,0.00,24.2,993.53,12.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.17,09-06-2019,10:00:00,77,340,1007.98,29.8,5.6,26.00,25.3,998.74,12.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,31.55,09-06-2019,10:00:00,90,210,1007.34,26.8,3.7,2.00,24.9,985.64,9.00,0.40
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,34.27,09-06-2019,10:00:00,93,230,1007.07,27.6,11.1,3.20,26.3,989.61,8.00,1.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.54,09-06-2019,10:00:00,78,240,1005.59,29.7,7.4,4.50,25.5,989.92,11.00,0.00
