WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,AirTemperature,LandVisibility,VaporPressure,MinimumTemperature,WindSpeed,StationPressure,Rainfall,RelativeHumidity
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.1,07-16-2019,07:00:00,1004.78,0.00,230,27.0,12.00,30.02,26.5,14.8,987.32,0.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.5,07-16-2019,07:00:00,1004.30,0.00,000,26.6,10.00,29.00,25.5,0.0,988.49,0.00,83
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.8,07-16-2019,07:00:00,1003.43,0.10,190,27.2,10.00,31.22,26.0,3.7,984.63,0.00,87
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.6,07-16-2019,07:00:00,1005.49,5.10,000,22.8,7.00,25.76,21.8,0.0,953.87,0.00,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.1,07-16-2019,07:00:00,1005.03,0.00,140,27.0,6.00,31.94,25.9,3.7,1001.08,0.00,90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.8,07-16-2019,07:00:00,1005.81,8.90,200,20.7,7.00,23.02,19.8,18.5,910.59,0.00,94
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.7,07-16-2019,07:00:00,1004.56,0.01,240,27.3,10.00,31.14,26.2,5.6,988.63,0.00,86
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.5,07-16-2019,07:00:00,1004.98,0.00,000,25.5,10.00,30.71,24.9,0.0,1000.93,0.00,94
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.0,07-16-2019,07:00:00,1006.29,0.00,000,25.5,8.00,28.07,24.5,0.0,995.57,0.00,86
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.4,07-16-2019,07:00:00,1005.50,0.60,120,25.3,9.00,28.75,24.1,5.6,1003.56,0.00,89
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.0,07-16-2019,07:00:00,1004.75,0.00,200,26.0,10.00,26.37,25.7,9.3,983.87,0.00,78
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.4,07-16-2019,07:00:00,1004.50,2.10,200,27.0,10.00,30.56,25.0,3.7,986.88,0.00,86
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.4,07-16-2019,07:00:00,1004.51,0.00,200,26.8,10.00,32.38,26.2,7.4,988.38,0.00,92
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.6,07-16-2019,07:00:00,1005.54,0.00,160,27.1,10.00,29.13,25.5,3.7,991.54,0.00,81
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.3,07-16-2019,07:00:00,1006.23,0.00,000,26.2,9.00,28.54,24.6,0.0,991.37,0.00,84
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.6,07-16-2019,07:00:00,1006.37,0.00,000,26.5,9.00,29.08,24.5,0.0,991.69,0.00,84
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.8,07-16-2019,07:00:00,1004.64,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.3,10.00,29.52,24.2,0.0,1001.62,0.00,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.0,07-16-2019,07:00:00,1005.09,0.00,000,26.3,10.00,29.78,25.2,0.0,997.13,0.00,87
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.8,07-16-2019,07:00:00,1005.83,0.00,000,26.2,8.00,27.75,24.7,0.0,1004.72,0.00,82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.1,07-16-2019,07:00:00,1005.29,0.00,000,26.0,8.00,28.18,25.0,0.0,990.59,0.00,84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.0,07-16-2019,07:00:00,1006.11,0.00,290,19.6,8.00,21.90,17.9,5.6,871.28,0.00,96
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.3,07-16-2019,07:00:00,1005.66,0.00,000,25.6,10.00,30.36,24.4,0.0,999.76,0.00,93
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,07-16-2019,07:00:00,1006.08,0.00,230,27.2,9.00,30.67,26.5,7.4,1005.28,0.00,85
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.3,07-16-2019,07:00:00,1005.93,1.00,210,27.8,10.00,30.45,26.1,1.9,1005.48,0.00,82
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.6,07-16-2019,07:00:00,1006.72,3.40,000,24.2,2.00,29.13,24.0,0.0,995.31,0.00,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.0,07-16-2019,07:00:00,1006.13,0.00,000,26.2,10.00,28.01,25.0,0.0,1005.11,0.00,82
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,22.8,07-16-2019,07:00:00,1005.81,0.00,120,26.5,7.00,27.77,25.4,7.4,1003.98,0.00,80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.7,07-16-2019,07:00:00,1005.94,0.00,000,25.1,8.00,27.62,24.1,0.0,1005.17,0.00,87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.5,07-16-2019,07:00:00,1006.29,60.30,260,26.9,10.00,29.02,25.0,3.7,1005.59,0.00,82
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.1,07-16-2019,07:00:00,1006.19,0.60,340,26.7,10.00,29.99,25.8,3.7,1005.48,0.00,86
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.1,07-16-2019,07:00:00,1005.35,0.00,250,27.1,10.00,28.33,25.7,5.6,984.24,0.00,79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.8,07-16-2019,07:00:00,1005.34,28.30,000,26.0,7.00,31.38,24.0,0.0,988.60,0.00,93
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.2,07-16-2019,07:00:00,1005.47,20.40,000,25.8,6.00,32.09,24.0,0.0,989.00,0.00,97
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.5,07-16-2019,07:00:00,1005.65,0.00,000,25.8,10.00,27.30,25.0,0.0,983.74,0.00,82
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.1,07-16-2019,07:00:00,1006.63,0.00,360,24.9,14.00,26.52,23.0,7.4,963.11,0.00,84
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.1,07-16-2019,07:00:00,1005.24,0.00,180,26.4,10.00,26.56,25.8,3.7,984.68,0.00,77
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.7,07-16-2019,07:00:00,1006.71,46.40,210,26.1,6.00,32.95,24.1,13.0,985.84,0.00,98
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.6,07-16-2019,07:00:00,1006.30,14.80,000,26.5,10.00,29.08,25.4,0.0,1005.86,0.00,84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.8,07-16-2019,07:00:00,1005.70,0.00,000,25.5,6.00,31.25,24.9,0.0,1004.28,0.00,96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.7,07-16-2019,07:00:00,1005.96,0.00,000,25.7,8.00,31.08,25.0,0.0,1001.01,0.00,94
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.8,07-16-2019,07:00:00,1006.25,0.00,000,26.5,12.00,27.77,24.4,0.0,1002.96,0.00,80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.3,07-16-2019,07:00:00,1006.11,0.00,210,25.8,10.00,28.60,24.2,3.7,1005.00,0.00,86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.6,07-16-2019,07:00:00,1006.16,3.80,000,26.1,8.00,29.15,25.6,0.0,1005.86,0.00,86
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.8,07-16-2019,07:00:00,1005.75,2.10,000,26.6,10.00,29.54,26.0,0.0,1005.06,0.00,85
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.4,07-16-2019,07:00:00,1006.08,49.30,000,25.2,10.00,28.83,25.2,0.0,1005.59,0.00,90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.8,07-16-2019,07:00:00,1006.43,0.01,200,28.1,10.00,27.77,27.1,9.3,1005.02,0.00,73
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.3,07-16-2019,07:00:00,1006.16,0.00,000,30.2,12.00,30.42,28.6,0.0,1004.50,0.00,71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.0,07-16-2019,07:00:00,1008.01,0.00,000,25.2,10.00,29.89,23.7,0.0,999.95,0.00,93
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.4,07-16-2019,07:00:00,1006.25,0.00,300,29.1,10.00,32.46,27.7,5.6,1005.97,0.00,81
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.5,07-16-2019,07:00:00,1006.22,0.00,000,29.0,12.00,28.91,27.8,0.0,1003.11,0.00,72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.5,07-16-2019,07:00:00,1006.15,0.00,290,28.6,10.00,28.97,27.9,7.4,999.26,0.00,74
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.3,07-16-2019,07:00:00,1007.25,0.00,240,25.5,7.00,28.59,25.5,5.6,1001.62,0.00,88
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,23.7,07-16-2019,07:00:00,1007.76,0.00,280,28.6,10.00,29.24,28.0,7.4,998.49,0.00,75
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.0,07-16-2019,07:00:00,1006.93,2.90,000,24.7,12.00,29.77,23.7,0.0,1005.65,0.00,96
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.2,07-16-2019,07:00:00,1005.99,0.00,210,27.6,11.00,28.45,26.2,13.0,1005.56,0.00,77
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.8,07-16-2019,07:00:00,1006.52,0.00,000,24.3,10.00,27.77,23.2,0.0,994.16,0.00,91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.8,07-16-2019,07:00:00,1006.35,21.00,240,27.3,10.00,29.50,25.8,3.7,1005.64,0.00,81
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.4,07-16-2019,07:00:00,1006.63,0.00,000,28.5,10.00,28.78,26.8,0.0,1004.21,0.00,74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.1,07-16-2019,07:00:00,1006.31,0.00,300,29.0,10.00,30.01,28.0,9.3,1005.80,0.00,75
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.7,07-16-2019,07:00:00,1006.20,0.00,270,27.2,12.00,29.31,26.6,5.6,1001.05,0.00,81
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.9,07-16-2019,07:00:00,1006.28,0.00,000,27.7,8.00,33.33,26.8,0.0,1005.87,0.00,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.6,07-16-2019,07:00:00,1006.48,0.00,000,27.0,8.00,32.77,26.0,0.0,1003.72,0.00,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.7,07-16-2019,07:00:00,1007.04,0.00,270,28.6,10.00,27.63,26.5,11.1,1006.26,0.00,71
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.4,07-16-2019,07:00:00,1006.21,0.00,090,26.7,7.00,32.46,25.2,5.6,1005.76,0.00,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,07-16-2019,07:00:00,1007.08,0.01,000,25.9,8.00,30.38,25.0,0.0,1006.39,0.00,91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.3,07-16-2019,07:00:00,1007.20,6.60,000,25.8,9.00,30.46,25.5,0.0,1005.67,0.00,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,07-16-2019,07:00:00,1007.83,10.10,000,26.0,10.00,28.97,25.8,0.0,1006.91,0.00,86
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,07-16-2019,07:00:00,1007.12,1.60,270,26.5,12.00,32.35,25.7,5.6,1006.43,0.00,93
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.3,07-16-2019,07:00:00,1007.79,0.00,000,24.0,9.00,28.53,24.0,0.0,1006.98,0.00,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.8,07-16-2019,07:00:00,1007.17,0.00,190,25.0,9.00,29.52,24.1,1.9,1006.53,0.00,93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.3,07-16-2019,07:00:00,1007.61,0.00,000,25.0,8.00,30.32,24.1,0.0,1007.21,0.00,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.8,07-16-2019,07:00:00,1009.63,0.00,000,24.4,5.00,29.49,24.0,0.0,1005.37,0.00,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,07-16-2019,07:00:00,1007.70,5.60,000,24.5,7.00,29.41,22.8,0.0,1006.07,0.00,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.4,07-16-2019,07:00:00,1008.14,10.50,000,24.0,7.00,28.78,23.5,0.0,1004.63,0.00,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.3,07-16-2019,07:00:00,1007.07,0.00,000,25.5,9.00,30.44,25.5,0.0,1005.71,0.00,93
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.4,07-16-2019,07:00:00,1007.39,3.70,000,26.1,10.00,32.40,25.6,0.0,1006.50,0.00,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.0,07-16-2019,07:00:00,1007.49,0.00,000,25.5,10.00,29.91,23.5,0.0,1003.92,0.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.0,07-16-2019,07:00:00,1007.47,1.60,000,27.6,10.00,31.72,27.2,0.0,1007.03,1.00,86
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.1,07-16-2019,07:00:00,1006.99,0.00,300,29.8,10.00,31.89,28.0,14.8,1006.01,0.00,76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.4,07-16-2019,07:00:00,1007.53,0.60,290,29.1,10.00,30.49,24.8,24.1,1006.72,0.60,76
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.4,07-16-2019,07:00:00,1007.95,0.00,000,25.3,8.00,30.60,24.5,0.0,1006.13,0.00,95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.1,07-16-2019,07:00:00,1007.92,0.00,000,27.1,12.00,29.93,26.1,0.0,1007.17,0.00,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.5,07-16-2019,07:00:00,1008.00,0.00,000,24.9,10.00,30.67,22.6,0.0,1003.98,0.00,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,07-16-2019,07:00:00,1007.72,0.00,000,25.3,10.00,29.80,24.4,0.0,1007.03,0.00,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.8,07-16-2019,07:00:00,1007.83,0.00,000,25.5,10.00,31.25,24.2,0.0,1006.71,0.00,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.9,07-16-2019,07:00:00,1008.01,0.00,000,24.3,10.00,29.57,22.7,0.0,1005.06,0.00,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.1,07-16-2019,07:00:00,1008.28,0.00,000,24.8,10.00,29.95,24.3,0.0,1007.58,0.00,96
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.7,07-16-2019,07:00:00,1008.65,0.00,250,24.5,10.00,27.60,23.8,3.7,1004.49,0.00,90
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.9,07-16-2019,07:00:00,1008.70,0.00,250,25.0,10.00,27.96,.0,5.6,1008.11,0.00,88
