WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,AirTemperature,LandVisibility,VaporPressure,MinimumTemperature,WindSpeed,StationPressure,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.9,07-16-2019,07:00:00,1004.65,0.00,000,25.8,8.00,29.66,23.6,0.0,973.79,0.00,89
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.8,07-16-2019,07:00:00,1003.12,0.00,300,18.6,8.00,20.34,18.4,9.3,842.38,0.00,95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.6,07-16-2019,07:00:00,1004.17,0.00,000,27.0,15.00,27.36,26.5,0.0,960.87,0.00,77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.1,07-16-2019,07:00:00,1003.62,0.00,000,26.0,15.00,28.18,24.5,0.0,958.31,0.00,84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.1,07-16-2019,07:00:00,1004.87,0.00,000,25.0,12.00,30.05,24.0,0.0,967.23,0.00,95
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.4,07-16-2019,07:00:00,1003.82,0.00,000,26.3,12.00,27.15,25.0,0.0,958.98,0.00,79
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,07-16-2019,07:00:00,1004.74,0.00,000,25.7,12.00,31.63,25.2,0.0,978.04,0.00,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.1,07-16-2019,07:00:00,1004.92,1.10,000,25.8,12.00,26.54,25.0,0.0,983.17,0.00,80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.4,07-16-2019,07:00:00,1005.44,0.00,000,25.2,5.00,28.83,23.0,0.0,981.29,0.00,90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.7,07-16-2019,07:00:00,1004.47,0.00,000,25.5,10.00,26.02,25.0,0.0,969.99,0.00,80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.5,07-16-2019,07:00:00,1004.79,0.00,000,25.5,10.00,27.29,24.6,0.0,977.26,0.00,84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.1,07-16-2019,07:00:00,1004.23,0.00,000,26.0,12.00,28.18,25.5,0.0,970.75,0.00,84
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.9,07-16-2019,07:00:00,1004.48,0.01,280,25.4,12.00,27.89,25.1,5.6,985.96,0.00,86
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.2,07-16-2019,07:00:00,1004.39,0.00,000,26.3,10.00,28.46,25.4,0.0,981.63,0.00,83
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.5,07-16-2019,07:00:00,1004.67,0.00,000,25.0,8.00,29.00,24.0,0.0,974.73,0.00,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.4,07-16-2019,07:00:00,1005.07,0.00,000,24.2,6.00,27.09,23.7,0.0,969.41,0.00,90
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.6,07-16-2019,07:00:00,1004.08,0.00,000,24.8,8.00,29.16,23.9,0.0,974.30,0.00,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.2,07-16-2019,07:00:00,1005.31,1.00,000,25.6,10.00,28.51,25.5,0.0,997.98,0.00,87
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.7,07-16-2019,07:00:00,1003.87,0.00,340,27.8,12.00,32.96,27.5,5.6,984.10,0.00,88
48353,LOEI,เลย,เลย,17.45000,101.73333,23.3,07-16-2019,07:00:00,1004.78,0.00,150,25.5,15.00,28.59,24.8,3.7,976.09,0.00,88
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.4,07-16-2019,07:00:00,1004.31,0.00,170,27.0,15.00,30.56,25.8,3.7,984.21,0.00,86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.2,07-16-2019,07:00:00,1005.33,0.00,180,26.4,15.00,28.37,25.0,3.7,983.61,0.00,82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.2,07-16-2019,07:00:00,1004.25,0.00,000,26.8,12.00,30.18,25.5,0.0,984.81,0.00,86
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.4,07-16-2019,07:00:00,1004.83,0.01,160,28.0,10.00,30.56,27.0,1.9,988.18,0.00,81
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.6,07-16-2019,07:00:00,1005.42,0.00,000,27.5,10.00,30.97,24.8,0.0,988.08,0.00,84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.2,07-16-2019,07:00:00,1003.46,0.00,000,25.8,13.00,28.34,25.0,0.0,977.69,0.00,85
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.3,07-16-2019,07:00:00,1005.11,0.00,000,27.0,10.00,28.67,24.5,0.0,999.34,0.00,80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.1,07-16-2019,07:00:00,1004.53,0.00,000,26.5,12.00,28.29,25.8,0.0,998.35,0.00,82
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.6,07-16-2019,07:00:00,1005.72,0.00,000,25.5,10.00,29.11,24.6,0.0,989.22,0.00,89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.8,07-16-2019,07:00:00,1003.85,30.80,000,24.0,10.00,27.76,23.5,0.0,981.39,0.00,93
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.4,07-16-2019,07:00:00,1005.22,1.00,280,27.4,9.00,27.03,25.2,7.4,990.88,0.00,74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.8,07-16-2019,07:00:00,1004.95,0.00,250,26.5,7.00,27.77,25.7,5.6,988.57,0.00,80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.6,07-16-2019,07:00:00,1005.10,0.00,000,26.5,12.00,29.08,25.2,0.0,999.87,0.00,84
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.5,07-16-2019,07:00:00,1003.84,0.00,000,25.7,10.00,28.95,24.6,0.0,990.63,0.00,88
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.4,07-16-2019,07:00:00,1004.72,0.00,060,26.0,11.00,28.70,25.0,3.7,995.38,0.00,85
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.1,07-16-2019,07:00:00,1004.43,0.00,210,26.5,10.00,28.29,25.5,3.7,982.77,0.00,82
