WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-24-2019,10:00:00,67,0.00,32.5,7.00,1009.18,10.00,230,25.5,5.6,32.58,1008.51
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-24-2019,10:00:00,64,0.00,31.8,5.30,1008.21,10.00,160,24.2,5.6,30.24,1007.73
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-24-2019,10:00:00,66,0.00,31.6,21.80,1009.31,10.00,240,24.5,13.0,30.69,1007.92
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-24-2019,10:00:00,75,0.00,30.3,0.00,1009.12,12.00,210,25.3,11.1,32.34,1007.46
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-24-2019,10:00:00,68,0.00,31.5,0.01,1011.33,10.00,230,24.8,3.7,31.35,1003.41
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-24-2019,10:00:00,66,0.00,32.1,15.50,1009.33,12.00,000,25.0,0.0,31.73,1009.05
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-24-2019,10:00:00,69,0.00,31.0,0.00,1009.48,10.00,000,24.6,0.0,30.90,1006.38
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-24-2019,10:00:00,68,0.00,30.5,0.00,1009.54,12.00,240,24.0,7.4,29.89,1002.66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-24-2019,10:00:00,77,0.00,30.6,0.00,1009.67,8.00,200,26.1,5.6,33.85,1004.13
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-24-2019,10:00:00,65,0.00,31.6,0.00,1010.36,8.00,230,24.2,14.8,30.12,1001.16
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-24-2019,10:00:00,67,0.00,31.0,0.01,1009.71,14.00,170,24.1,3.7,30.05,1008.46
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-24-2019,10:00:00,67,0.00,32.5,0.00,1009.27,11.00,170,25.5,5.6,32.58,1008.84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-24-2019,10:00:00,62,0.00,31.7,0.00,1009.31,10.00,320,23.5,7.4,28.91,997.21
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-24-2019,10:00:00,60,0.00,32.7,0.00,1009.40,10.00,240,24.0,9.3,29.79,1008.70
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-24-2019,10:00:00,59,0.00,34.2,0.00,1009.53,10.00,180,25.1,7.4,31.77,1007.15
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-24-2019,10:00:00,69,0.00,31.0,0.00,1010.15,10.00,260,24.6,5.6,30.90,1009.64
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-24-2019,10:00:00,55,0.00,33.0,0.00,1009.42,12.00,200,22.9,5.6,27.84,1004.36
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-24-2019,10:00:00,78,0.00,30.1,27.50,1009.97,8.00,160,25.7,5.6,33.08,1009.56
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-24-2019,10:00:00,80,0.00,30.2,54.60,1010.34,8.00,000,26.4,0.0,34.47,1007.59
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-24-2019,10:00:00,58,0.00,31.5,0.00,1009.84,12.00,000,22.3,0.0,26.86,1009.07
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-24-2019,10:00:00,89,2.30,26.7,45.00,1010.51,8.00,000,24.7,0.0,31.08,1010.05
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-24-2019,10:00:00,70,0.00,30.4,0.00,1010.61,10.00,260,24.4,11.1,30.54,1009.94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-24-2019,10:00:00,76,0.00,29.8,0.00,1010.03,10.00,000,25.1,0.0,31.89,1008.51
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-24-2019,10:00:00,74,0.00,30.5,0.00,1011.15,10.00,200,25.3,5.6,32.17,1010.25
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-24-2019,10:00:00,69,0.00,31.0,0.00,1010.32,12.00,250,24.6,7.4,30.90,1009.64
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-24-2019,10:00:00,79,0.00,29.6,0.00,1011.12,10.00,300,25.5,3.7,32.63,1010.33
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-24-2019,10:00:00,69,0.00,30.8,0.00,1010.19,10.00,000,24.5,0.0,30.78,1009.56
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-24-2019,10:00:00,75,0.00,31.0,0.00,1010.31,10.00,000,26.1,0.0,33.81,1009.91
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-24-2019,10:00:00,76,0.00,29.2,0.00,1012.84,7.00,000,24.6,0.0,30.96,1008.64
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-24-2019,10:00:00,76,0.00,29.6,0.00,1011.04,12.00,000,24.9,0.0,31.48,1009.44
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-24-2019,10:00:00,75,0.00,30.2,0.00,1010.75,10.00,000,25.2,0.0,32.13,1007.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-24-2019,10:00:00,77,0.00,29.6,0.00,1010.55,8.00,120,25.0,5.6,31.77,1009.21
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-24-2019,10:00:00,73,0.00,31.0,0.00,1010.65,10.00,000,25.7,0.0,32.93,1009.77
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-24-2019,10:00:00,71,0.00,31.0,0.00,1010.72,10.00,000,25.0,0.0,31.76,1007.19
