WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,VaporPressure,RelativeHumidity,Rainfall,MeanSeaLevelPressure,DewPoint,AirTemperature,Rainfall24Hr,LandVisibility,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-11-2019,01:00:00,000,32.04,94,0.00,1000.12,25.2,26.2,88.00,6.00,969.44,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-11-2019,01:00:00,120,21.73,99,0.00,999.98,18.8,19.0,27.60,.10,839.94,11.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-11-2019,01:00:00,340,30.65,92,1.50,1001.42,24.4,25.9,13.70,10.00,958.08,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-11-2019,01:00:00,000,29.95,96,10.80,1001.91,24.1,24.8,16.00,10.00,956.50,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-11-2019,01:00:00,000,31.28,100,3.40,1002.39,24.8,24.8,24.10,4.00,964.81,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-11-2019,01:00:00,000,31.82,96,0.50,1002.88,25.1,25.8,18.70,6.00,976.24,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-11-2019,01:00:00,000,32.07,98,8.80,1001.04,25.2,25.5,37.40,7.00,979.35,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-11-2019,01:00:00,000,32.20,96,2.50,999.97,25.3,26.0,25.40,6.00,976.02,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-11-2019,01:00:00,000,31.85,94,0.01,1001.51,25.1,26.1,29.00,10.00,967.20,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-11-2019,01:00:00,000,31.25,96,0.00,1002.05,24.8,25.5,76.70,10.00,974.59,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-11-2019,01:00:00,000,30.84,92,0.00,1000.61,24.6,26.0,2.90,10.00,967.25,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-11-2019,01:00:00,000,33.35,98,0.00,1001.01,25.9,26.3,27.60,10.00,982.61,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-11-2019,01:00:00,000,33.07,97,0.01,1001.71,25.7,26.3,17.70,10.00,979.00,0.0
