WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,Rainfall24Hr,StationPressure,AirTemperature,WindSpeed,RelativeHumidity,Rainfall,VaporPressure,MeanSeaLevelPressure,DewPoint
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-24-2019,04:00:00,10.00,000,5.30,1005.81,27.7,0.0,86,0.00,31.92,1006.30,25.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-24-2019,04:00:00,10.00,210,21.80,1005.33,27.8,11.1,83,0.00,31.00,1006.74,24.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-24-2019,04:00:00,10.00,000,0.01,1000.88,25.0,0.0,93,0.01,29.52,1008.95,23.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-24-2019,04:00:00,10.00,000,15.50,1006.14,28.0,0.0,94,0.00,35.69,1006.42,27.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-24-2019,04:00:00,10.00,000,0.00,1003.36,29.0,0.0,80,0.00,31.98,1006.47,25.2
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-24-2019,04:00:00,10.00,260,0.00,1000.16,29.5,13.0,75,0.00,30.72,1007.04,24.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-24-2019,04:00:00,8.00,000,0.00,1002.99,27.0,0.0,83,0.00,29.48,1008.59,23.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-24-2019,04:00:00,10.00,000,0.01,1006.80,26.5,0.0,88,0.00,30.43,1008.06,24.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-24-2019,04:00:00,11.00,220,0.00,1006.29,28.6,3.7,71,0.00,27.63,1006.72,22.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-24-2019,04:00:00,8.00,000,0.00,995.31,24.5,0.0,89,0.00,27.35,1007.68,22.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-24-2019,04:00:00,10.00,000,0.00,1006.49,28.0,0.0,77,0.00,29.19,1007.20,23.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-24-2019,04:00:00,10.00,250,0.00,1005.00,28.5,11.1,85,0.00,33.24,1007.42,25.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-24-2019,04:00:00,10.00,340,0.00,1007.05,29.8,7.4,76,0.00,31.89,1007.56,25.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-24-2019,04:00:00,8.00,000,0.00,1001.81,28.3,0.0,82,0.00,31.70,1006.94,25.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-24-2019,04:00:00,7.00,000,27.60,1006.77,25.1,0.0,94,25.70,29.97,1007.18,24.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-24-2019,04:00:00,8.00,000,27.00,1004.90,25.0,0.0,98,21.70,31.12,1007.69,24.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-24-2019,04:00:00,10.00,000,0.00,1007.59,25.7,0.0,90,0.00,29.74,1008.38,23.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-24-2019,04:00:00,4.00,020,29.50,1007.63,25.5,14.8,96,29.50,31.25,1008.09,24.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-24-2019,04:00:00,8.00,000,0.00,1007.80,24.5,0.0,96,0.00,29.41,1008.49,23.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-24-2019,04:00:00,8.00,000,0.00,1006.47,25.5,0.0,92,0.00,29.91,1008.00,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-24-2019,04:00:00,10.00,000,0.00,1007.93,25.0,0.0,92,0.00,29.26,1008.86,23.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-24-2019,04:00:00,12.00,000,0.00,1007.56,27.3,0.0,78,0.00,28.43,1008.24,23.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-24-2019,04:00:00,8.00,000,0.00,1008.30,23.5,0.0,96,0.00,27.66,1009.11,22.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-24-2019,04:00:00,10.00,000,0.00,1007.44,25.6,0.0,95,0.00,31.17,1008.08,24.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-24-2019,04:00:00,10.00,000,0.00,1009.28,25.4,0.0,97,0.00,31.33,1009.69,24.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-24-2019,04:00:00,5.00,000,0.00,1005.96,24.0,0.0,97,0.00,28.78,1010.22,23.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-24-2019,04:00:00,10.00,000,0.00,1007.42,24.1,0.0,98,0.00,29.48,1009.05,23.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-24-2019,04:00:00,7.00,000,0.00,1005.75,25.0,0.0,96,0.00,30.32,1009.25,24.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-24-2019,04:00:00,8.00,000,0.00,1007.49,24.5,0.0,97,0.00,29.93,1008.85,24.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-24-2019,04:00:00,10.00,000,0.00,1007.67,25.4,0.0,92,0.00,29.99,1008.56,24.1
