WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,WindDirection,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,WindSpeed,MeanSeaLevelPressure,LandVisibility
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,35.1,09-14-2019,19:00:00,27.8,200,0.01,24.8,0.01,31.28,84,1003.03,7.4,1006.31,7.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.8,09-14-2019,19:00:00,26.5,000,35.50,24.6,35.80,30.97,89,1005.89,0.0,1007.00,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.2,09-14-2019,19:00:00,26.7,320,0.80,25.3,1.80,32.18,92,1006.66,5.6,1006.96,7.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.0,09-14-2019,19:00:00,27.0,280,2.00,26.1,3.80,33.91,95,1006.14,7.4,1006.83,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.6,09-14-2019,19:00:00,26.1,150,29.30,25.1,31.70,31.85,94,1006.49,3.7,1006.98,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.0,09-14-2019,19:00:00,25.2,210,4.40,24.3,5.00,30.42,95,1005.53,13.0,1006.95,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.0,09-14-2019,19:00:00,28.5,210,0.00,25.7,7.00,32.96,85,1005.23,22.2,1006.90,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.5,09-14-2019,19:00:00,25.0,000,6.00,24.3,11.80,30.32,96,1001.04,0.0,1009.12,2.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,34.5,09-14-2019,19:00:00,29.0,000,0.00,24.7,1.40,31.13,78,1006.17,0.0,1006.45,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.6,09-14-2019,19:00:00,28.2,270,0.00,25.1,26.00,31.79,83,1003.74,5.6,1006.86,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.7,09-14-2019,19:00:00,28.6,230,0.00,24.3,0.00,30.34,78,999.56,7.4,1006.46,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.5,09-14-2019,19:00:00,27.2,000,0.50,25.8,20.70,33.17,92,1001.75,0.0,1007.35,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.4,09-14-2019,19:00:00,28.1,240,0.00,24.4,18.50,30.48,80,999.57,13.0,1008.86,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,33.0,09-14-2019,19:00:00,27.6,230,0.01,25.8,0.01,33.13,90,1006.02,3.7,1007.28,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.6,09-14-2019,19:00:00,27.5,260,0.00,25.2,0.10,32.08,87,1006.12,3.7,1006.55,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.7,09-14-2019,19:00:00,25.6,220,1.20,24.7,40.50,31.17,95,994.57,3.7,1006.88,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,32.6,09-14-2019,19:00:00,26.8,130,0.00,25.2,11.00,32.10,91,1005.91,3.7,1006.62,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.0,09-14-2019,19:00:00,28.8,200,0.00,24.3,1.90,30.46,77,1004.59,3.7,1007.01,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.0,09-14-2019,19:00:00,28.5,000,0.00,24.2,3.10,30.15,78,1006.22,0.0,1006.74,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.5,09-14-2019,19:00:00,28.3,160,0.00,24.1,1.90,30.04,78,1001.53,1.9,1006.65,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.3,09-14-2019,19:00:00,26.7,000,2.20,25.7,21.00,33.02,94,1006.44,0.0,1006.85,7.00
