WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,DewPoint,AirTemperature,VaporPressure
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-13-2019,10:00:00,1009.59,69,1009.31,9.3,0.00,150,10.00,25.7,32.0,32.99
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-13-2019,10:00:00,1009.85,71,1006.73,9.3,13.00,300,10.00,23.7,29.5,29.33
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-13-2019,10:00:00,1010.22,81,1003.31,11.1,5.80,230,10.00,25.5,29.0,32.55
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-13-2019,10:00:00,1010.16,72,1004.62,9.3,0.00,300,8.00,25.4,31.0,32.34
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-13-2019,10:00:00,1010.08,76,1000.81,16.7,7.40,240,10.00,24.4,29.0,30.57
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-13-2019,10:00:00,1010.65,75,1009.39,0.0,10.20,000,14.00,25.2,30.2,32.13
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.10,08-13-2019,10:00:00,1010.15,77,1009.72,7.4,1.90,240,8.00,24.2,28.7,30.26
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.20,08-13-2019,10:00:00,1010.62,87,998.34,0.0,1.10,000,8.00,25.3,27.6,32.28
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-13-2019,10:00:00,1010.19,70,1009.49,7.4,4.90,240,10.00,24.4,30.4,30.54
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-13-2019,10:00:00,1010.33,69,1007.92,11.1,0.00,200,10.00,25.1,31.6,31.85
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-13-2019,10:00:00,1010.32,76,1009.81,18.5,0.00,300,10.00,25.9,30.5,33.34
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-13-2019,10:00:00,1010.07,70,1004.97,7.4,0.30,190,14.00,25.0,31.1,31.68
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.70,08-13-2019,10:00:00,1010.38,89,1009.97,11.1,2.90,160,7.00,26.7,28.8,35.03
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.60,08-13-2019,10:00:00,1010.70,88,1007.93,5.6,0.80,160,8.00,25.9,28.0,33.37
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-13-2019,10:00:00,1011.14,65,1010.36,3.7,7.00,150,10.00,23.5,30.7,28.89
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.20,08-13-2019,10:00:00,1011.23,87,1010.77,5.6,19.70,230,8.00,25.4,27.7,32.48
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-13-2019,10:00:00,1010.52,70,1009.85,3.7,5.50,200,8.00,24.7,30.8,31.06
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-13-2019,10:00:00,1010.28,70,1008.77,3.7,1.60,270,8.00,24.4,30.4,30.54
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.40,08-13-2019,10:00:00,1011.15,78,1010.24,7.4,0.40,210,10.00,25.2,29.5,32.13
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-13-2019,10:00:00,1010.73,72,1010.05,0.0,0.00,000,10.00,24.9,30.6,31.51
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-13-2019,10:00:00,1010.82,75,1010.04,5.6,0.01,270,10.00,26.0,31.0,33.52
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-13-2019,10:00:00,1010.94,55,1010.31,0.0,0.00,000,10.00,22.5,32.8,27.16
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-13-2019,10:00:00,1011.03,58,1010.64,7.4,0.00,330,10.00,23.1,32.5,28.25
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-13-2019,10:00:00,1012.81,71,1008.63,11.1,0.00,230,6.00,24.7,30.5,31.03
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-13-2019,10:00:00,1011.01,66,1009.41,0.0,0.00,000,10.00,22.7,29.9,27.63
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-13-2019,10:00:00,1010.71,69,1007.27,0.0,0.00,000,10.00,24.6,31.0,30.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-13-2019,10:00:00,1010.89,72,1009.55,0.0,0.00,000,10.00,24.5,30.2,30.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-13-2019,10:00:00,1010.78,76,1009.90,11.1,5.40,240,10.00,25.6,30.3,32.92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-13-2019,10:00:00,1011.10,74,1007.56,0.0,0.00,000,10.00,24.7,29.8,31.03
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-13-2019,10:00:00,1010.80,72,1010.37,0.0,0.00,000,10.00,25.4,31.0,32.34
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-13-2019,10:00:00,1010.49,76,1009.50,5.6,30.60,310,10.00,24.9,29.6,31.48
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-13-2019,10:00:00,1011.27,87,1010.46,0.0,0.00,000,10.00,27.7,30.0,37.05
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-13-2019,10:00:00,1011.00,71,1009.20,0.0,0.00,000,11.00,25.3,31.1,32.26
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-13-2019,10:00:00,1010.90,66,1010.15,7.4,0.00,110,12.00,25.1,32.2,31.94
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-13-2019,10:00:00,1010.95,73,1006.99,5.6,0.00,990,10.00,25.2,30.6,32.09
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-13-2019,10:00:00,1011.13,64,1010.45,7.4,0.00,280,10.00,24.1,31.7,30.04
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-13-2019,10:00:00,1011.33,67,1010.23,5.6,0.00,120,12.00,24.4,31.4,30.57
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-13-2019,10:00:00,1011.13,72,1008.24,0.0,0.00,000,12.00,25.7,31.5,33.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-13-2019,10:00:00,1010.45,66,1009.77,0.0,0.00,000,10.00,24.9,32.0,31.52
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-13-2019,10:00:00,1011.43,71,1007.34,0.0,0.00,000,7.00,25.2,31.0,32.05
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-13-2019,10:00:00,1010.84,77,1010.25,5.6,0.00,090,10.00,26.1,30.6,33.85
