WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,WindSpeed,Rainfall24Hr,StationPressure,WindDirection,AirTemperature,LandVisibility,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-02-2019,22:00:00,24.4,0.0,0.00,980.29,000,28.0,10.00,30.56,81,1010.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-02-2019,22:00:00,22.5,0.0,0.00,975.44,000,27.2,6.00,27.19,75,1010.96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-02-2019,22:00:00,23.6,0.0,0.00,980.64,000,25.4,5.00,29.19,90,1010.55
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-02-2019,22:00:00,25.2,0.0,0.00,1002.75,000,29.5,8.00,32.13,78,1010.02
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-02-2019,22:00:00,26.1,5.6,0.00,990.51,120,30.0,5.00,33.75,80,1010.26
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-02-2019,22:00:00,22.6,0.0,0.00,981.84,000,27.0,4.00,27.36,77,1010.55
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-02-2019,22:00:00,23.6,1.9,0.00,990.50,150,28.5,8.00,29.05,75,1010.63
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-02-2019,22:00:00,24.5,0.0,0.00,989.25,000,26.1,6.00,30.76,91,1011.11
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-02-2019,22:00:00,24.8,0.0,0.00,990.95,000,28.0,8.00,31.39,83,1010.43
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-02-2019,22:00:00,24.0,0.0,0.00,994.63,000,28.2,8.00,29.85,78,1011.37
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-02-2019,22:00:00,24.5,0.0,0.00,994.13,000,27.8,8.00,30.72,82,1011.56
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-02-2019,22:00:00,24.2,5.6,0.00,983.57,110,27.5,7.00,30.15,82,1009.34
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-02-2019,22:00:00,27.4,0.0,0.00,1004.01,000,29.6,6.00,36.47,88,1009.76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-02-2019,22:00:00,26.4,0.0,0.00,1004.25,000,28.5,6.00,34.40,88,1010.43
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-02-2019,22:00:00,23.9,0.0,0.00,995.44,000,27.5,8.00,29.60,81,1011.93
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-02-2019,22:00:00,22.6,3.7,0.00,987.65,180,27.0,10.00,27.36,77,1010.04
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-02-2019,22:00:00,23.3,7.4,0.00,996.76,260,29.8,10.00,28.53,68,1011.07
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-02-2019,22:00:00,23.3,0.0,0.00,994.21,000,26.7,8.00,28.65,82,1010.66
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-02-2019,22:00:00,25.1,0.0,0.00,1005.12,000,28.4,6.00,31.90,82,1010.34
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-02-2019,22:00:00,24.1,0.0,0.00,996.90,000,27.6,10.00,30.07,81,1010.11
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-02-2019,22:00:00,24.0,0.0,0.00,1001.27,000,28.9,6.00,29.82,75,1010.57
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-02-2019,22:00:00,24.6,5.6,0.00,989.10,150,29.0,7.00,30.85,77,1010.71
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-02-2019,22:00:00,25.4,0.0,0.00,993.68,000,28.5,10.00,32.39,83,1011.17
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-02-2019,22:00:00,24.0,0.0,0.00,994.38,000,27.2,10.00,29.85,83,1010.25
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-02-2019,22:00:00,24.5,1.9,0.00,991.01,170,27.5,7.00,30.70,84,1009.91
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-02-2019,22:00:00,21.7,0.0,0.00,962.29,000,23.2,6.00,25.92,91,1014.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-02-2019,22:00:00,26.6,0.0,0.00,1006.38,000,29.0,4.00,34.87,87,1010.32
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-02-2019,22:00:00,21.3,5.6,0.00,916.96,190,22.5,6.00,25.28,93,1012.24
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-02-2019,22:00:00,25.3,0.0,0.00,994.61,000,27.2,8.00,32.33,90,1010.64
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-02-2019,22:00:00,25.2,0.0,0.00,1006.53,000,28.8,6.00,32.14,81,1010.56
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-02-2019,22:00:00,25.2,0.0,21.70,1001.03,000,26.2,5.00,32.04,94,1011.78
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-02-2019,22:00:00,26.6,0.0,0.00,1009.80,000,29.5,9.00,34.75,84,1011.72
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-02-2019,22:00:00,24.2,9.3,0.00,990.54,220,28.7,8.00,30.26,77,1011.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-02-2019,22:00:00,25.8,0.0,0.00,992.70,000,26.5,10.00,33.19,96,1010.45
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-02-2019,22:00:00,25.6,0.0,0.00,993.93,000,28.7,10.00,32.79,83,1010.04
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-02-2019,22:00:00,24.4,0.0,0.00,996.78,000,28.0,7.00,30.56,81,1010.82
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-02-2019,22:00:00,24.0,0.0,0.00,996.59,000,27.0,9.00,29.75,83,1011.48
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-02-2019,22:00:00,27.0,0.0,0.00,996.40,000,27.8,6.00,35.56,95,1011.09
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-02-2019,22:00:00,26.0,0.0,0.00,1007.56,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.1,6.00,33.67,79,1010.56
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-02-2019,22:00:00,24.2,3.7,0.00,1003.13,040,27.7,8.00,30.26,81,1011.09
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-02-2019,22:00:00,25.9,5.6,0.00,1010.28,130,28.7,6.00,33.37,85,1011.39
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-02-2019,22:00:00,23.3,0.0,0.00,995.41,000,28.8,8.00,28.54,72,1010.05
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-02-2019,22:00:00,19.5,0.0,23.00,877.89,000,20.0,2.00,22.68,97,1013.54
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-02-2019,22:00:00,24.2,0.0,0.00,1005.88,000,26.5,8.00,30.16,87,1011.79
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-02-2019,22:00:00,25.8,5.6,0.20,1010.43,140,29.2,8.00,33.24,82,1011.23
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-02-2019,22:00:00,24.5,7.4,0.00,1010.88,210,29.4,10.00,30.80,75,1011.32
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-02-2019,22:00:00,24.8,0.0,0.00,1000.70,000,27.2,5.00,31.22,87,1012.05
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-02-2019,22:00:00,25.8,3.7,0.00,1010.48,180,30.0,7.00,33.17,78,1011.49
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-02-2019,22:00:00,24.5,3.7,0.00,1009.62,170,29.4,8.00,30.80,75,1011.44
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-02-2019,22:00:00,26.2,0.0,0.00,1010.48,000,28.3,6.00,33.99,88,1011.25
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-02-2019,22:00:00,26.3,5.6,0.00,1010.68,170,29.1,8.00,34.20,85,1011.38
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-02-2019,22:00:00,25.6,0.0,0.00,1010.73,000,29.4,7.00,32.79,80,1011.43
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-02-2019,22:00:00,24.6,0.0,0.00,990.37,000,28.0,7.00,30.84,82,1011.54
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-02-2019,22:00:00,25.3,0.0,0.01,994.39,000,28.0,7.00,32.23,85,1011.12
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-02-2019,22:00:00,24.9,0.0,0.00,994.83,000,26.8,7.00,31.55,90,1011.34
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-02-2019,22:00:00,24.7,0.0,0.00,989.40,000,27.4,10.00,31.05,85,1011.32
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-02-2019,22:00:00,22.5,7.4,0.60,968.44,230,24.4,6.00,27.18,89,1012.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-02-2019,22:00:00,25.1,0.0,0.00,990.95,000,26.5,10.00,31.79,92,1011.63
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-02-2019,22:00:00,25.4,7.4,0.00,991.86,160,26.3,5.00,32.51,95,1012.84
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-02-2019,22:00:00,25.5,0.0,0.00,1010.85,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.0,10.00,32.59,77,1011.28
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-02-2019,22:00:00,25.1,0.0,0.20,1010.21,000,27.4,6.00,31.89,87,1011.63
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-02-2019,22:00:00,24.7,0.0,4.70,1007.13,000,25.6,7.00,31.17,95,1012.11
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-02-2019,22:00:00,25.0,3.7,0.00,1007.97,180,30.0,10.00,31.72,75,1011.24
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-02-2019,22:00:00,26.2,0.0,0.00,1009.50,000,29.0,10.00,33.99,85,1010.60
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-02-2019,22:00:00,26.0,5.6,0.00,1011.03,180,29.5,10.00,33.58,81,1011.33
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-02-2019,22:00:00,26.1,0.0,0.00,1010.64,000,28.9,8.00,33.78,85,1011.12
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-02-2019,22:00:00,26.4,11.1,0.01,1010.01,180,29.3,8.00,34.33,84,1011.41
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-02-2019,22:00:00,24.2,0.0,0.00,1005.00,000,26.1,10.00,30.22,89,1013.07
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-02-2019,22:00:00,25.8,5.6,18.20,1010.28,240,28.3,8.00,33.12,86,1010.57
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-02-2019,22:00:00,25.1,0.0,0.00,1008.11,000,28.0,10.00,31.95,85,1011.24
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-02-2019,22:00:00,25.9,0.0,0.01,1004.37,000,27.7,10.00,33.33,90,1011.33
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-02-2019,22:00:00,24.8,0.0,2.70,1006.43,000,27.5,7.00,31.25,85,1012.05
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-02-2019,22:00:00,26.0,3.7,0.00,1010.73,140,28.1,10.00,33.57,88,1012.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-02-2019,22:00:00,25.0,11.1,0.00,1010.74,170,29.6,11.00,31.77,77,1011.17
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-02-2019,22:00:00,23.8,3.7,0.00,999.48,220,26.0,10.00,29.50,88,1011.84
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-02-2019,22:00:00,23.4,0.0,0.00,1010.68,000,27.5,10.00,28.80,78,1011.39
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-02-2019,22:00:00,25.1,5.6,0.00,1009.64,180,28.0,10.00,31.95,85,1012.08
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-02-2019,22:00:00,25.7,0.0,0.00,1011.19,000,28.5,8.00,32.96,85,1011.71
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-02-2019,22:00:00,25.5,3.7,78.40,1006.49,170,28.5,8.00,32.67,84,1011.64
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-02-2019,22:00:00,25.6,0.0,0.00,1011.69,000,28.4,7.00,32.75,85,1012.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-02-2019,22:00:00,24.9,0.0,3.10,1009.15,000,27.5,8.00,31.52,86,1011.93
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-02-2019,22:00:00,24.4,3.7,0.00,1011.42,210,27.9,10.00,30.64,82,1012.21
48501,TRAD,ตราด,ตราด,11.76667,102.88333,22.40,10-02-2019,22:00:00,25.4,5.6,22.40,1011.60,060,26.5,7.00,32.35,93,1012.06
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-02-2019,22:00:00,24.0,0.0,0.01,1011.55,000,25.6,8.00,29.82,91,1012.24
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-02-2019,22:00:00,24.8,0.0,0.20,1011.13,000,26.2,8.00,31.22,92,1012.67
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-02-2019,22:00:00,24.8,0.0,0.00,1011.78,000,27.0,10.00,31.38,88,1012.70
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-02-2019,22:00:00,25.8,5.6,0.00,1011.80,300,27.6,10.00,33.13,90,1012.49
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-02-2019,22:00:00,23.1,0.0,0.00,1012.23,000,24.4,8.00,28.20,92,1013.04
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-02-2019,22:00:00,23.3,0.0,0.00,1011.57,000,25.4,10.00,28.67,88,1012.22
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-02-2019,22:00:00,24.3,0.0,0.00,1012.46,000,25.2,10.00,30.42,95,1012.87
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-02-2019,22:00:00,23.7,0.0,0.90,1010.15,000,24.7,6.00,29.25,94,1014.42
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-02-2019,22:00:00,23.4,0.0,0.80,1011.42,000,23.7,10.00,28.77,98,1013.05
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-02-2019,22:00:00,23.3,0.0,0.30,1009.41,000,24.0,7.00,28.53,96,1012.94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-02-2019,22:00:00,23.6,0.0,0.00,1011.17,000,24.8,8.00,29.16,93,1012.55
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.70,10-02-2019,22:00:00,26.2,0.0,0.90,1011.16,000,26.5,10.00,34.03,98,1012.05
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-02-2019,22:00:00,24.7,0.0,7.30,1009.36,000,25.0,10.00,31.12,98,1012.97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-02-2019,22:00:00,25.1,0.0,3.20,1011.96,000,28.0,10.00,31.95,85,1012.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.30,10-02-2019,22:00:00,25.2,5.6,0.30,1011.01,050,26.5,9.00,32.07,93,1012.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-02-2019,22:00:00,23.1,5.6,19.40,1011.91,090,24.9,10.00,28.30,90,1012.74
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-02-2019,22:00:00,24.0,0.0,2.70,1011.29,000,24.6,10.00,29.85,97,1013.13
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-02-2019,22:00:00,22.3,5.6,0.01,1012.41,250,26.2,11.00,26.98,79,1013.16
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-02-2019,22:00:00,23.4,3.7,5.60,1009.06,990,23.8,10.00,28.69,97,1013.12
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-02-2019,22:00:00,23.5,0.0,20.40,1012.08,000,25.0,10.00,29.00,92,1012.77
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-02-2019,22:00:00,23.3,0.0,73.20,1011.62,000,23.9,10.00,28.61,97,1012.75
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-02-2019,22:00:00,24.5,0.0,0.80,1010.21,000,25.5,10.00,30.71,94,1013.16
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-02-2019,22:00:00,23.2,0.0,0.00,1012.40,000,24.2,10.00,28.36,94,1013.10
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.30,10-02-2019,22:00:00,22.5,5.6,38.70,1009.44,220,23.4,7.00,27.24,95,1013.63
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-02-2019,22:00:00,22.0,0.0,0.00,1012.08,000,26.0,10.00,26.37,78,1012.67
