WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,WindSpeed,Rainfall24Hr,StationPressure,WindDirection,AirTemperature,LandVisibility,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-02-2019,22:00:00,24.5,0.0,0.00,979.81,000,26.2,10.00,30.67,90,1010.83
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-02-2019,22:00:00,17.9,0.0,0.00,848.70,000,19.5,8.00,20.46,90,1010.12
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-02-2019,22:00:00,24.0,0.0,0.40,966.53,000,26.5,10.00,29.89,86,1010.16
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-02-2019,22:00:00,24.0,0.0,0.00,964.84,000,26.0,10.00,29.76,89,1010.46
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-02-2019,22:00:00,23.9,0.0,0.00,973.47,000,24.8,6.00,29.69,95,1011.38
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-02-2019,22:00:00,24.3,0.0,0.00,965.47,000,26.5,8.00,30.43,88,1010.58
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-02-2019,22:00:00,24.8,0.0,0.00,984.02,000,27.2,7.00,31.22,87,1010.75
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-02-2019,22:00:00,25.1,0.0,0.00,988.96,000,27.5,12.00,31.80,87,1010.71
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-02-2019,22:00:00,24.3,0.0,0.00,986.58,000,26.5,8.00,30.43,88,1010.76
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-02-2019,22:00:00,23.2,0.0,0.00,976.21,000,27.3,10.00,28.43,78,1010.70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.00,10-02-2019,22:00:00,25.2,0.0,1.00,983.44,000,27.8,8.00,32.12,86,1010.94
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-02-2019,22:00:00,23.6,0.0,0.00,977.19,000,27.4,10.00,29.15,80,1010.73
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-02-2019,22:00:00,24.6,0.0,0.00,991.93,000,27.5,5.00,30.97,84,1010.43
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-02-2019,22:00:00,25.1,0.0,0.00,987.66,000,28.0,10.00,31.95,85,1010.44
