stationType,stationID,nameTH,nameEN,long,lat,areaTH,areaEN,LastUpdate
GROUND,03t,ริมถนนทางหลวงหมายเลข 3902 ,Highway NO.3902 km.13 +600,100.414262,13.636514,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ","Kanchanaphisek Rd, Bang Khun Thian, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '32', 'unit': 'µg/m³'}, 'PM10': {'value': '72', 'unit': 'µg/m³'}, 'O3': {'value': '-', 'unit': 'ppb'}, 'CO': {'value': '1.18', 'unit': 'ppm'}, 'NO2': {'value': '28', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '2', 'aqi': '43'}}"
GROUND,05t,กรมอุตุนิยมวิทยาบางนา,Thai Meteorological Department ,100.605741,13.666113,"แขวงบางนา, เขตบางนา, กรุงเทพฯ","Bang Na, Khet Bang Na, Bangkok","{'date': '2019-07-03', 'time': '15:00', 'PM25': {'value': '19', 'unit': 'µg/m³'}, 'PM10': {'value': '33', 'unit': 'µg/m³'}, 'O3': {'value': '5', 'unit': 'ppb'}, 'CO': {'value': '0.43', 'unit': 'ppm'}, 'NO2': {'value': '23', 'unit': 'ppb'}, 'SO2': {'value': '0', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '19'}}"
GROUND,10t,เคหะชุมชนคลองจั่น,National Housing Authority Klongchan,100.645654,13.779539,"แขวงคลองจั่น, เขตบางกะปิ, กรุงเทพฯ","Khlong Chan, Khet Bang Kapi, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '15', 'unit': 'µg/m³'}, 'PM10': {'value': '27', 'unit': 'µg/m³'}, 'O3': {'value': '8', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': '23', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '15'}}"
GROUND,11t,การเคหะชุมชนห้วยขวาง ,National Housing  Huaykwang,100.569206,13.775516,"แขวงดินแดง, เขตดินแดง, กรุงเทพฯ","Din Daeng, Khet Din Daeng, Bangkok","{'date': '2019-07-03', 'time': '15:00', 'PM25': {'value': '18', 'unit': 'µg/m³'}, 'PM10': {'value': '-', 'unit': 'µg/m³'}, 'O3': {'value': '12', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '2', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '18'}}"
GROUND,50t,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,100.536443,13.729984,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ","Rama IV Rd. Khet Pathum Wan, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '20', 'unit': 'µg/m³'}, 'PM10': {'value': '44', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': '1.62', 'unit': 'ppm'}, 'NO2': {'value': '35', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '22'}}"
GROUND,52t,การไฟฟ้าย่อยธนบุรี ,Thonburi Power Sub-Station,100.486604,13.727557,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ","Intarapitak Rd. Khet Thon Buri, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '22', 'unit': 'µg/m³'}, 'PM10': {'value': '39', 'unit': 'µg/m³'}, 'O3': {'value': '8', 'unit': 'ppb'}, 'CO': {'value': '0.81', 'unit': 'ppm'}, 'NO2': {'value': '12', 'unit': 'ppb'}, 'SO2': {'value': '2', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '22'}}"
GROUND,53t,สถานีตำรวจนครบาลโชคชัย ,Chokchai Police Station,100.592899,13.795414,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd. Khet Wang Thonglang, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '26', 'unit': 'µg/m³'}, 'PM10': {'value': '38', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': '1.37', 'unit': 'ppm'}, 'NO2': {'value': '26', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '2', 'aqi': '26'}}"
GROUND,54t,การเคหะชุมชนดินแดง ,National Housing Authority Dindaeng,100.550361,13.762609,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng Rd. Khet Din Daeng, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '-', 'unit': 'µg/m³'}, 'PM10': {'value': '83', 'unit': 'µg/m³'}, 'O3': {'value': '12', 'unit': 'ppb'}, 'CO': {'value': '2.29', 'unit': 'ppm'}, 'NO2': {'value': '38', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '3', 'aqi': '54'}}"
GROUND,59t,กรมประชาสัมพันธ์,The Government Public Relations Department ,100.540529,13.783143,"แขวงพญาไท, เขตพญาไท, กรุงเทพฯ","Phaya Thai, Khet Phaya Thai, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '15', 'unit': 'µg/m³'}, 'PM10': {'value': '25', 'unit': 'µg/m³'}, 'O3': {'value': '12', 'unit': 'ppb'}, 'CO': {'value': '0.55', 'unit': 'ppm'}, 'NO2': {'value': '11', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '15'}}"
GROUND,61t,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,Bodindecha Sing Singhaseni School,100.614562,13.76963,"แขวงพลับพลา, เขตวังทองหลาง, กรุงเทพฯ","Pubpla, Khet Wang Thonglang, Bangkok","{'date': '2019-07-03', 'time': '16:00', 'PM25': {'value': '20', 'unit': 'µg/m³'}, 'PM10': {'value': '31', 'unit': 'µg/m³'}, 'O3': {'value': '-', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': '32', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '20'}}"
