latitude,longitude,Name,Description
13.636514,100.414262,Highway NO.3902 km.13 +600,"Kanchanaphisek Rd, Bang Khun Thian, Bangkok"
13.666113,100.605741,Thai Meteorological Department ,"Bang Na, Khet Bang Na, Bangkok"
13.779539,100.645654,National Housing Authority Klongchan,"Khlong Chan, Khet Bang Kapi, Bangkok"
13.775516,100.569206,National Housing  Huaykwang,"Din Daeng, Khet Din Daeng, Bangkok"
13.729984,100.536443,Chulalongkorn Hospital,"Rama IV Rd. Khet Pathum Wan, Bangkok"
13.727557,100.486604,Thonburi Power Sub-Station,"Intarapitak Rd. Khet Thon Buri, Bangkok"
13.795414,100.592899,Chokchai Police Station,"Lat Phrao Rd. Khet Wang Thonglang, Bangkok"
13.762609,100.550361,National Housing Authority Dindaeng,"Din Daeng Rd. Khet Din Daeng, Bangkok"
13.783143,100.540529,The Government Public Relations Department ,"Phaya Thai, Khet Phaya Thai, Bangkok"
13.76963,100.614562,Bodindecha Sing Singhaseni School,"Pubpla, Khet Wang Thonglang, Bangkok"
14.022425,99.536118,Kanchanaburi Meteorological Station,"Ban Nuea, Mueang, Kanchanaburi"
16.445329,102.835251,Hydrogeological Group Water Resources Regional Office4 khonkaen,"Nai Mueang, Mueang, Khon Kaen"
13.588554,101.286359,Municipality Office Tungsadao,"Wang Yen, Plaeng Yao, Chachoengsao"
13.119214,100.918596,Laem Chabang Municipal Stadium,"Thung Sukhla, Si Racha, Chon buri"
13.054551,101.098128,Health Promotion Hospital Bankhaohin,"Bo Win, Si Racha, Chon buri"
13.355065,100.977777,"Environment Agency Section 13, Chonburi","Ban Suan, Mueang, Chon Buri"
16.750102,98.591312,"Non-Formal Education Centre, Mea Sot","MaePa, MaeSot, Tak"
13.831944,100.057778,Water reservoir,"Mueang, Nakhon Pathom"
14.979726,102.098301,Municipal Waste Water Pumping Station,"Nai Mueang, Mueang, Nakhon Ratchasima"
15.686254,100.110542,Nakhonsawan Irrigation Project ,"Pak Nam Pho, Mueang, Nakhon Sawan"
13.807156,100.506319,EGAT,"Bang Krua, Bang Kruai, Nonthaburi"
13.90794,100.535599,Sukhothai Thammathirat Open University,"Bang Phut, Pak Kret, Nonthaburi"
6.426885,101.823005,"City Hall, Narathiwat","Bang Nak, Mueang, Narathiwat"
18.788878,100.776359,"Municipality Office, Nan","Nai Wiang, Mueang, Nan"
19.32238,101.025365,Chalermprakiet Hospital,"Huai Kon, Chaloem Phra Kiat, Nan"
14.037512,100.605124,Bangkok University Rangsit Campus,"Khlong Nueng, Khlong Luang, Pathum Thani"
13.934197,101.58696,Bu Yai Bai Hall Station,"Tha Tum, SiMahaPhot, Prachin Buri"
14.352225,100.565352,Ayutthaya Witthayalai School,"Pratu Chai, Phra Nakhon Si Ayutthaya"
19.1215,99.5321,"Phayao Provincial, Phayao","ฺBantom, Meuang, Phayao"
7.884508,98.391318,Municipal Health Center,"Talat Yai, Mueang, Phuket"
6.546197,101.2831,White Elephant Park,"Sateng, Mueang, Yala"
12.97378,101.212844,Pluakdaeng District Health Office,"Pluak Daeng, Pluak Daeng, Rayong"
12.70862,101.166055,Health Promotion Hospital Maptaput,"Map Ta Phut, Meuang, Rayong"
12.671521,101.275875,Agricultural Office,"Tha Pradu, Meuang, Rayong"
12.735114,101.13562,"Field Crop Research Center, Rayong","Huai Pong, Meuang, Rayong"
12.706325,101.180975,"Government Complex, Rayong","Nern Pra, Meuang, Rayong"
12.648576,101.32245,Khai Surasinghanat,"Taphong, Mueang, Rayong"
13.532555,99.814873,Environmental Office 8 ratchaburi,"Na Mueang, Mueang, Ratchaburi"
18.278251,99.506447,"Meteorological stations, Lampang","Phra Bat, Meuang, Lampang"
18.250747,99.763986,"Health Promotion Hospital Sob Pad, Lampang","Sop Pat, Mae Mo, Lampang"
18.419425,99.727046,Health Promotion Hospital ,"Ban Dong, Mae Mo, Lampang"
18.282664,99.659873,Provincial Waterworks Authority Mae Moh,"Mae Mo, Mae Mo, Lampang"
18.567179,99.03856,"Meteorological Staions, Lamphun","ฺBan Klang, Mueang, Lamphun"
7.020545,100.48404,Hat Yai Municipality,"Hat Yai, Songkhla"
6.624686,100.066212,"City Hall, Satun","Phiman, Mueang, Satun"
13.664023,100.543406,Prabadang Rehabiltation Center,"Song Kanong, Phra Pradaeng, Samut Prakan"
13.617982,100.556246,South Bangkok Power Plant,"Bang Prong, Meuang, Samut Prakan"
13.652154,100.53184,Residence for Dept. of Mineral Resources,"Talat, Phra Pradaeng, Samut Prakan"
13.599172,100.597332,City Hall,"Pak Nam, Meuang, Samut Prakan"
13.570333,100.785866,National Housing Authority Bangplee,"Bang Sao Thong, Bang Sao Thong, Samut Prakan "
13.705458,100.315675,Highway District,"Om Noi, Krathum Baen, Samut Sakhon"
13.550478,100.264254,Samut Sakhon Wittayalai School,"Maha Chai, Mueang, Samut Sakhon"
14.687391,100.871228,Na Phralan Police Station ,"Na Phra Lan, Chaloem Phra Kiat, Saraburi"
14.526302,100.926128,Khao Noi Fire Station,"Pak Phriao, Mueang Saraburi, Saraburi"
13.692122,102.502124,Sriaranyothai Kindergarten,"Aranyaprathet, Aranyaprathet, Sa Kaeo"
9.126057,99.325355,"Environment Agency Section 14, Surat Thani","Makham Tia, Mueang, Surat Thani"
19.909242,99.823357,"Natural Resources and Environment Office, Chiangrai","Wiang, Meuang, Chiang Rai"
20.427234,99.883724,Maesai Health Office,"Wiang Phang Kham, Mae Sai, Chiang Rai"
18.840633,98.969661,"City Hall, Chiangmai","Chang Phueak, Meuang, Chiang Mai"
18.7909205,98.9881062,Yupparaj Wittayalai School,"Si Phum, Meuang, Chiang Mai"
17.452765,101.728715,"Provincial Health Office, Loei","Na An, Mueang, Loei"
18.128928,100.162345,"Meteorology Center, Phrae","Na Chak, Meuang, Phrae"
19.304686,97.970999,"Natural Resources and Environment Office, Mae Hongson","Chong Kham, Meuang, Mae Hong Son"
